Akarere,Intara,Uruhare_DPT3_%,Uruhare_Measles_%,Uruhare_BCG_%,Uruhare_Polio_%
Gasabo,Kigali,0.841,0.883,0.897,0.847
Kicukiro,Kigali,0.896,0.887,0.865,0.859
Nyarugenge,Kigali,0.875,0.825,0.864,0.778
Bugesera,Uburasirazuba,0.825,0.902,0.901,0.888
Gatsibo,Uburasirazuba,0.885,0.82,0.92,0.777
Kayonza,Uburasirazuba,0.863,0.884,0.929,0.796
Kirehe,Uburasirazuba,0.835,0.834,0.931,0.854
Ngoma,Uburasirazuba,0.927,0.836,0.938,0.819
Nyagatare,Uburasirazuba,0.88,0.901,0.902,0.862
Rwamagana,Uburasirazuba,0.907,0.799,0.908,0.865
Burera,Amajyaruguru,0.885,0.829,0.866,0.843
Gakenke,Amajyaruguru,0.857,0.862,0.894,0.847
Gicumbi,Amajyaruguru,0.862,0.795,0.93,0.799
Musanze,Amajyaruguru,0.94,0.823,0.938,0.883
Rulindo,Amajyaruguru,0.829,0.867,0.889,0.862
Gisagara,Amajyepfo,0.902,0.904,0.871,0.835
Huye,Amajyepfo,0.914,0.794,0.865,0.859
Kamonyi,Amajyepfo,0.864,0.836,0.905,0.835
Muhanga,Amajyepfo,0.901,0.904,0.89,0.857
Nyamagabe,Amajyepfo,0.889,0.854,0.892,0.841
Nyanza,Amajyepfo,0.85,0.804,0.919,0.82
Nyaruguru,Amajyepfo,0.866,0.857,0.881,0.786
Ruhango,Amajyepfo,0.874,0.91,0.883,0.878
Karongi,Uburengerazuba,0.879,0.805,0.928,0.813
Ngororero,Uburengerazuba,0.928,0.843,0.867,0.845
Nyabihu,Uburengerazuba,0.921,0.828,0.888,0.759
Nyamasheke,Uburengerazuba,0.885,0.897,0.928,0.85
Rubavu,Uburengerazuba,0.931,0.867,0.923,0.821
Rutsiro,Uburengerazuba,0.835,0.814,0.871,0.861
Rusizi,Uburengerazuba,0.823,0.856,0.89,0.863
