Akarere,Intara,Amashami_ya_Banki,Aho_Gukura_Amafaranga_ATM,Amasosiyete_Mpuzamashako,Amafaranga_Inguzanyo_Miliyoni_Frw,Uruhare_Abafite_Konti_%
Gasabo,Kigali,14,38,191,2643,0.331
Kicukiro,Kigali,9,48,346,739,0.28
Nyarugenge,Kigali,4,68,221,2359,0.357
Bugesera,Uburasirazuba,13,66,215,3580,0.263
Gatsibo,Uburasirazuba,4,70,318,1006,0.29
Kayonza,Uburasirazuba,10,36,266,647,0.389
Kirehe,Uburasirazuba,1,73,377,1582,0.284
Ngoma,Uburasirazuba,12,38,353,2456,0.265
Nyagatare,Uburasirazuba,1,71,416,759,0.391
Rwamagana,Uburasirazuba,6,58,277,2766,0.373
Burera,Amajyaruguru,17,21,184,2442,0.238
Gakenke,Amajyaruguru,2,52,211,4034,0.219
Gicumbi,Amajyaruguru,2,51,28,3125,0.298
Musanze,Amajyaruguru,4,9,433,1334,0.247
Rulindo,Amajyaruguru,12,10,39,2371,0.234
Gisagara,Amajyepfo,15,39,83,569,0.307
Huye,Amajyepfo,9,9,430,3906,0.226
Kamonyi,Amajyepfo,4,41,323,2178,0.321
Muhanga,Amajyepfo,16,54,233,3106,0.255
Nyamagabe,Amajyepfo,1,16,42,1844,0.362
Nyanza,Amajyepfo,9,82,397,2114,0.315
Nyaruguru,Amajyepfo,13,28,398,2096,0.34
Ruhango,Amajyepfo,13,29,281,3660,0.235
Karongi,Uburengerazuba,5,81,333,2103,0.382
Ngororero,Uburengerazuba,4,52,186,4259,0.248
Nyabihu,Uburengerazuba,15,27,288,1370,0.383
Nyamasheke,Uburengerazuba,12,66,109,2261,0.398
Rubavu,Uburengerazuba,10,89,48,545,0.353
Rutsiro,Uburengerazuba,6,42,124,2316,0.292
Rusizi,Uburengerazuba,2,63,341,1764,0.349
