Akarere,Intara,Uruhare_DPT3_%,Uruhare_Measles_%,Uruhare_BCG_%,Uruhare_Polio_%
Gasabo,Kigali,0.881,0.882,0.882,0.888
Kicukiro,Kigali,0.902,0.804,0.938,0.805
Nyarugenge,Kigali,0.915,0.831,0.935,0.856
Bugesera,Uburasirazuba,0.844,0.851,0.9,0.756
Gatsibo,Uburasirazuba,0.836,0.83,0.898,0.814
Kayonza,Uburasirazuba,0.893,0.852,0.886,0.836
Kirehe,Uburasirazuba,0.84,0.909,0.919,0.792
Ngoma,Uburasirazuba,0.86,0.889,0.903,0.849
Nyagatare,Uburasirazuba,0.856,0.888,0.889,0.844
Rwamagana,Uburasirazuba,0.938,0.86,0.924,0.852
Burera,Amajyaruguru,0.903,0.793,0.898,0.885
Gakenke,Amajyaruguru,0.914,0.883,0.906,0.851
Gicumbi,Amajyaruguru,0.89,0.81,0.91,0.837
Musanze,Amajyaruguru,0.921,0.808,0.914,0.754
Rulindo,Amajyaruguru,0.934,0.803,0.862,0.794
Gisagara,Amajyepfo,0.838,0.873,0.893,0.858
Huye,Amajyepfo,0.93,0.895,0.919,0.759
Kamonyi,Amajyepfo,0.837,0.815,0.886,0.843
Muhanga,Amajyepfo,0.883,0.828,0.874,0.878
Nyamagabe,Amajyepfo,0.861,0.833,0.922,0.851
Nyanza,Amajyepfo,0.897,0.873,0.909,0.777
Nyaruguru,Amajyepfo,0.85,0.857,0.878,0.886
Ruhango,Amajyepfo,0.856,0.825,0.877,0.849
Karongi,Uburengerazuba,0.858,0.832,0.935,0.861
Ngororero,Uburengerazuba,0.853,0.805,0.914,0.803
Nyabihu,Uburengerazuba,0.938,0.888,0.936,0.863
Nyamasheke,Uburengerazuba,0.855,0.825,0.917,0.798
Rubavu,Uburengerazuba,0.873,0.821,0.898,0.778
Rutsiro,Uburengerazuba,0.885,0.902,0.916,0.769
Rusizi,Uburengerazuba,0.894,0.86,0.879,0.844
