Akarere,Intara,Gukura_Nabi_%,Ibiro_Bikabije_%,Uruhare_Inzano_Kwononoka_%,Abana_Barinzwe,Abana_Barongeye_Inkunga_y_Indyo
Gasabo,Kigali,0.095,0.086,0.826,2356,885
Kicukiro,Kigali,0.072,0.049,0.869,747,465
Nyarugenge,Kigali,0.143,0.1,0.791,2206,649
Bugesera,Uburasirazuba,0.138,0.115,0.821,1496,835
Gatsibo,Uburasirazuba,0.114,0.094,0.845,2240,860
Kayonza,Uburasirazuba,0.141,0.051,0.864,1067,618
Kirehe,Uburasirazuba,0.187,0.078,0.823,2107,338
Ngoma,Uburasirazuba,0.17,0.117,0.843,1506,848
Nyagatare,Uburasirazuba,0.174,0.097,0.866,1903,62
Rwamagana,Uburasirazuba,0.139,0.042,0.884,357,831
Burera,Amajyaruguru,0.172,0.106,0.873,777,743
Gakenke,Amajyaruguru,0.108,0.128,0.807,1298,81
Gicumbi,Amajyaruguru,0.124,0.129,0.809,2240,220
Musanze,Amajyaruguru,0.168,0.089,0.815,1177,339
Rulindo,Amajyaruguru,0.174,0.116,0.874,994,570
Gisagara,Amajyepfo,0.164,0.115,0.805,2335,127
Huye,Amajyepfo,0.161,0.098,0.814,1437,200
Kamonyi,Amajyepfo,0.114,0.064,0.858,1040,733
Muhanga,Amajyepfo,0.185,0.108,0.886,964,135
Nyamagabe,Amajyepfo,0.141,0.122,0.857,1608,690
Nyanza,Amajyepfo,0.135,0.076,0.857,628,117
Nyaruguru,Amajyepfo,0.144,0.119,0.825,803,655
Ruhango,Amajyepfo,0.135,0.076,0.881,370,862
Karongi,Uburengerazuba,0.174,0.12,0.812,1634,110
Ngororero,Uburengerazuba,0.2,0.08,0.784,1575,614
Nyabihu,Uburengerazuba,0.098,0.085,0.872,2754,251
Nyamasheke,Uburengerazuba,0.092,0.098,0.804,123,249
Rubavu,Uburengerazuba,0.063,0.095,0.872,1213,514
Rutsiro,Uburengerazuba,0.14,0.077,0.873,1664,579
Rusizi,Uburengerazuba,0.184,0.128,0.862,2005,884
