Akarere,Intara,Ubuso_km2,Abaturage,Inzu,Umubare_Abagabo,Umubare_Abagore,Ubucucike_km2
Gasabo,Kigali,2773,565591,135741,277139,288451,4206
Kicukiro,Kigali,825,101280,24307,49627,51652,811
Nyarugenge,Kigali,4505,284165,68199,139240,144924,4021
Bugesera,Uburasirazuba,4504,251509,60362,123239,128269,1208
Gatsibo,Uburasirazuba,603,622269,149344,304911,317357,3944
Kayonza,Uburasirazuba,2091,593216,142371,290675,302540,3179
Kirehe,Uburasirazuba,4656,733759,176102,359541,374217,4350
Ngoma,Uburasirazuba,4072,149670,35920,73338,76331,4430
Nyagatare,Uburasirazuba,3709,387782,93067,190013,197768,1794
Rwamagana,Uburasirazuba,4030,106297,25511,52085,54211,4347
Burera,Amajyaruguru,1407,247581,59419,121314,126266,3979
Gakenke,Amajyaruguru,4373,450003,108000,220501,229501,4321
Gicumbi,Amajyaruguru,4101,100944,24226,49462,51481,2409
Musanze,Amajyaruguru,3997,228066,54735,111752,116313,1292
Rulindo,Amajyaruguru,1046,553600,132864,271264,282336,1775
Gisagara,Amajyepfo,4837,493618,118468,241872,251745,1539
Huye,Amajyepfo,2058,247270,59344,121162,126107,4909
Kamonyi,Amajyepfo,4702,520151,124836,254873,265277,753
Muhanga,Amajyepfo,974,695517,166924,340803,354713,4820
Nyamagabe,Amajyepfo,631,86401,20736,42336,44064,2285
Nyanza,Amajyepfo,1637,686211,164690,336243,349967,3109
Nyaruguru,Amajyepfo,1987,600414,144099,294202,306211,2967
Ruhango,Amajyepfo,3573,331445,79546,162408,169036,208
Karongi,Uburengerazuba,2738,201068,48256,98523,102544,3653
Ngororero,Uburengerazuba,3386,799936,191984,391968,407967,1948
Nyabihu,Uburengerazuba,3354,326307,78313,159890,166416,1784
Nyamasheke,Uburengerazuba,4255,150055,36013,73526,76528,3654
Rubavu,Uburengerazuba,1615,152893,36694,74917,77975,2160
Rutsiro,Uburengerazuba,1548,708125,169950,346981,361143,810
Rusizi,Uburengerazuba,4707,528435,126824,258933,269501,3451
