Akarere,Intara,Inzira_Km_Byose,Inzira_za_Leta_Km,Inzira_Zahariwe_Km,Inzira_Nziza_%
Gasabo,Kigali,592,321,42,83,0.659
Kicukiro,Kigali,482,364,123,33,0.663
Nyarugenge,Kigali,482,49,20,78,0.625
Bugesera,Uburasirazuba,662,178,174,87,0.613
Gatsibo,Uburasirazuba,539,248,12,78,0.628
Kayonza,Uburasirazuba,278,35,112,19,0.64
Kirehe,Uburasirazuba,215,39,148,42,0.635
Ngoma,Uburasirazuba,496,211,52,32,0.629
Nyagatare,Uburasirazuba,149,51,118,9,0.63
Rwamagana,Uburasirazuba,113,210,157,17,0.603
Burera,Amajyaruguru,469,205,133,23,0.652
Gakenke,Amajyaruguru,601,113,23,78,0.622
Gicumbi,Amajyaruguru,743,54,137,45,0.625
Musanze,Amajyaruguru,290,245,14,33,0.689
Rulindo,Amajyaruguru,512,396,94,18,0.594
Gisagara,Amajyepfo,663,95,81,76,0.675
Huye,Amajyepfo,134,40,190,93,0.677
Kamonyi,Amajyepfo,665,25,141,15,0.635
Muhanga,Amajyepfo,67,99,112,24,0.642
Nyamagabe,Amajyepfo,243,203,148,18,0.66
Nyanza,Amajyepfo,63,241,136,9,0.607
Nyaruguru,Amajyepfo,263,319,127,10,0.655
Ruhango,Amajyepfo,56,167,61,85,0.656
Karongi,Uburengerazuba,698,27,174,66,0.613
Ngororero,Uburengerazuba,335,391,28,34,0.677
Nyabihu,Uburengerazuba,448,90,105,48,0.683
Nyamasheke,Uburengerazuba,66,114,110,36,0.629
Rubavu,Uburengerazuba,167,151,76,64,0.614
Rutsiro,Uburengerazuba,783,210,164,64,0.678
Rusizi,Uburengerazuba,717,329,15,57,0.618
