Akarere,Intara,Gukura_Nabi_%,Ibiro_Bikabije_%,Uruhare_Inzano_Kwononoka_%,Abana_Barinzwe,Abana_Barongeye_Inkunga_y_Indyo
Gasabo,Kigali,0.148,0.114,0.843,1315,224
Kicukiro,Kigali,0.147,0.089,0.793,846,700
Nyarugenge,Kigali,0.189,0.07,0.878,781,734
Bugesera,Uburasirazuba,0.128,0.089,0.853,1900,334
Gatsibo,Uburasirazuba,0.133,0.046,0.82,1830,869
Kayonza,Uburasirazuba,0.078,0.06,0.83,391,513
Kirehe,Uburasirazuba,0.101,0.119,0.814,1272,886
Ngoma,Uburasirazuba,0.072,0.118,0.836,1167,849
Nyagatare,Uburasirazuba,0.2,0.058,0.872,691,54
Rwamagana,Uburasirazuba,0.163,0.072,0.846,501,779
Burera,Amajyaruguru,0.134,0.112,0.82,714,854
Gakenke,Amajyaruguru,0.134,0.074,0.791,538,585
Gicumbi,Amajyaruguru,0.147,0.116,0.863,502,850
Musanze,Amajyaruguru,0.145,0.117,0.811,2689,856
Rulindo,Amajyaruguru,0.102,0.121,0.887,2512,442
Gisagara,Amajyepfo,0.079,0.124,0.78,771,517
Huye,Amajyepfo,0.104,0.123,0.847,2689,90
Kamonyi,Amajyepfo,0.117,0.053,0.87,2162,734
Muhanga,Amajyepfo,0.193,0.062,0.866,1840,376
Nyamagabe,Amajyepfo,0.087,0.115,0.788,2700,277
Nyanza,Amajyepfo,0.185,0.051,0.861,2649,170
Nyaruguru,Amajyepfo,0.122,0.101,0.864,119,140
Ruhango,Amajyepfo,0.104,0.049,0.849,1366,607
Karongi,Uburengerazuba,0.102,0.051,0.862,1321,100
Ngororero,Uburengerazuba,0.197,0.122,0.818,827,889
Nyabihu,Uburengerazuba,0.113,0.12,0.792,1354,543
Nyamasheke,Uburengerazuba,0.183,0.102,0.867,2145,233
Rubavu,Uburengerazuba,0.074,0.13,0.846,1713,351
Rutsiro,Uburengerazuba,0.182,0.1,0.872,2700,402
Rusizi,Uburengerazuba,0.149,0.118,0.811,2052,277
