Akarere,Intara,Inzu_z_Inkiko,Ibirego_Byashyikirijwe,Ibirego_Byakemuwe,Abacamanza,Ibirego_bya_Gacaca,Abagaminzi
Gasabo,Kigali,8,2211,893,2,3789,8
Kicukiro,Kigali,44,348,464,13,1557,2
Nyarugenge,Kigali,30,242,862,5,3927,3
Bugesera,Uburasirazuba,10,1237,1129,12,3842,3
Gatsibo,Uburasirazuba,38,625,449,6,2768,4
Kayonza,Uburasirazuba,7,915,604,11,622,8
Kirehe,Uburasirazuba,35,1369,379,13,3229,11
Ngoma,Uburasirazuba,41,2356,116,18,1912,1
Nyagatare,Uburasirazuba,45,777,1149,3,1212,8
Rwamagana,Uburasirazuba,27,2197,643,13,1278,11
Burera,Amajyaruguru,29,399,442,9,2632,4
Gakenke,Amajyaruguru,7,2189,309,19,2631,5
Gicumbi,Amajyaruguru,20,1643,418,12,2832,10
Musanze,Amajyaruguru,25,815,193,16,811,3
Rulindo,Amajyaruguru,26,2429,932,2,1509,6
Gisagara,Amajyepfo,12,2316,865,7,3896,10
Huye,Amajyepfo,36,1692,218,6,308,4
Kamonyi,Amajyepfo,10,710,254,12,283,4
Muhanga,Amajyepfo,20,982,666,4,1311,11
Nyamagabe,Amajyepfo,23,1288,208,10,1382,1
Nyanza,Amajyepfo,38,2440,424,14,1974,4
Nyaruguru,Amajyepfo,47,2453,705,4,2326,10
Ruhango,Amajyepfo,24,1747,888,18,686,7
Karongi,Uburengerazuba,18,1051,1015,10,506,1
Ngororero,Uburengerazuba,33,1491,297,18,1220,1
Nyabihu,Uburengerazuba,29,1158,819,3,2120,3
Nyamasheke,Uburengerazuba,19,1544,1134,18,1540,2
Rubavu,Uburengerazuba,43,974,472,7,1502,11
Rutsiro,Uburengerazuba,44,291,884,9,3971,9
Rusizi,Uburengerazuba,17,2029,1165,9,3601,2
