Akarere,Intara,Ubuso_km2,Abaturage,Inzu,Umubare_Abagabo,Umubare_Abagore,Ubucucike_km2
Gasabo,Kigali,3116,582039,139689,285199,296839,1644
Kicukiro,Kigali,101,104086,24980,51002,53083,1577
Nyarugenge,Kigali,2941,293875,70530,143998,149876,3342
Bugesera,Uburasirazuba,2266,254796,61151,124850,129945,1225
Gatsibo,Uburasirazuba,4515,646180,155083,316628,329551,4020
Kayonza,Uburasirazuba,515,593312,142394,290722,302589,2674
Kirehe,Uburasirazuba,1742,769782,184747,377193,392588,4128
Ngoma,Uburasirazuba,3396,152669,36640,74807,77861,1278
Nyagatare,Uburasirazuba,219,401914,96459,196937,204976,1375
Rwamagana,Uburasirazuba,4263,107433,25783,52642,54790,549
Burera,Amajyaruguru,3185,250802,60192,122892,127909,1133
Gakenke,Amajyaruguru,2522,474181,113803,232348,241832,1371
Gicumbi,Amajyaruguru,127,105707,25369,51796,53910,3804
Musanze,Amajyaruguru,622,239107,57385,117162,121944,2240
Rulindo,Amajyaruguru,4794,573261,137582,280897,292363,2686
Gisagara,Amajyepfo,1321,491690,118005,240928,250761,4272
Huye,Amajyepfo,4026,252599,60623,123773,128825,3404
Kamonyi,Amajyepfo,3017,544958,130789,267029,277928,4760
Muhanga,Amajyepfo,3101,713556,171253,349642,363913,3652
Nyamagabe,Amajyepfo,4169,89776,21546,43990,45785,2829
Nyanza,Amajyepfo,3743,710918,170620,348349,362568,2478
Nyaruguru,Amajyepfo,1311,611670,146800,299718,311951,3260
Ruhango,Amajyepfo,2654,348141,83553,170589,177551,3208
Karongi,Uburengerazuba,479,201627,48390,98797,102829,1571
Ngororero,Uburengerazuba,1666,807899,193895,395870,412028,2792
Nyabihu,Uburengerazuba,1233,336746,80819,165005,171740,3530
Nyamasheke,Uburengerazuba,414,156868,37648,76865,80002,2156
Rubavu,Uburengerazuba,2137,158883,38131,77852,81030,1192
Rutsiro,Uburengerazuba,4533,729269,175024,357341,371927,3003
Rusizi,Uburengerazuba,4297,549829,131958,269416,280412,3874
