Akarere,Intara,Umubare_Indwara_Sida,Uruhare_Sida_%,Umubare_Malariya,Uruhare_Malariya_%,Abarerurwa_Bakize
Gasabo,Kigali,2914,0.0105,2872,0.0228,114
Kicukiro,Kigali,1381,0.0083,6048,0.0231,2536
Nyarugenge,Kigali,844,0.016,7084,0.0239,1140
Bugesera,Uburasirazuba,1666,0.0133,1818,0.0282,2541
Gatsibo,Uburasirazuba,4321,0.0071,4539,0.0179,2670
Kayonza,Uburasirazuba,567,0.0061,639,0.0252,190
Kirehe,Uburasirazuba,2993,0.0111,4925,0.0372,1699
Ngoma,Uburasirazuba,2808,0.02,4040,0.0333,1160
Nyagatare,Uburasirazuba,1271,0.0166,5999,0.0187,1447
Rwamagana,Uburasirazuba,2649,0.011,4266,0.0299,2559
Burera,Amajyaruguru,4071,0.0142,1743,0.0254,1394
Gakenke,Amajyaruguru,1059,0.0192,5445,0.039,2234
Gicumbi,Amajyaruguru,2520,0.0104,2141,0.0246,282
Musanze,Amajyaruguru,1973,0.0056,2050,0.0372,1147
Rulindo,Amajyaruguru,2454,0.0118,848,0.0394,1039
Gisagara,Amajyepfo,3577,0.0128,6722,0.035,863
Huye,Amajyepfo,2812,0.0076,5402,0.021,1994
Kamonyi,Amajyepfo,4210,0.0127,3322,0.0372,1597
Muhanga,Amajyepfo,1893,0.018,4151,0.0245,1852
Nyamagabe,Amajyepfo,2608,0.0071,1742,0.0123,1966
Nyanza,Amajyepfo,1215,0.0078,3216,0.0315,443
Nyaruguru,Amajyepfo,1305,0.0172,5901,0.0244,1488
Ruhango,Amajyepfo,1211,0.0074,6750,0.0107,225
Karongi,Uburengerazuba,2952,0.0074,5221,0.0112,1759
Ngororero,Uburengerazuba,468,0.0089,1850,0.0387,1838
Nyabihu,Uburengerazuba,2905,0.0053,5896,0.0299,922
Nyamasheke,Uburengerazuba,611,0.0117,7945,0.036,594
Rubavu,Uburengerazuba,4185,0.014,6459,0.0346,627
Rutsiro,Uburengerazuba,3366,0.009,5931,0.0203,1415
Rusizi,Uburengerazuba,3034,0.0084,3390,0.0133,686
