Akarere,Intara,Amazi_Meza_%,Isuku_%,Amazi_Kuruganda_%,Isuku_Byihuta_%
Gasabo,Kigali,0.735,0.623,45,41
Kicukiro,Kigali,0.732,0.61,52,56
Nyarugenge,Kigali,0.727,0.615,89,14
Bugesera,Uburasirazuba,0.773,0.609,27,61
Gatsibo,Uburasirazuba,0.771,0.656,63,49
Kayonza,Uburasirazuba,0.723,0.612,46,56
Kirehe,Uburasirazuba,0.765,0.687,74,77
Ngoma,Uburasirazuba,0.75,0.635,63,24
Nyagatare,Uburasirazuba,0.756,0.622,28,69
Rwamagana,Uburasirazuba,0.727,0.676,63,66
Burera,Amajyaruguru,0.775,0.697,81,52
Gakenke,Amajyaruguru,0.754,0.603,89,68
Gicumbi,Amajyaruguru,0.717,0.618,72,31
Musanze,Amajyaruguru,0.724,0.601,85,49
Rulindo,Amajyaruguru,0.73,0.614,67,12
Gisagara,Amajyepfo,0.765,0.622,51,33
Huye,Amajyepfo,0.727,0.672,78,49
Kamonyi,Amajyepfo,0.698,0.605,31,53
Muhanga,Amajyepfo,0.757,0.627,69,43
Nyamagabe,Amajyepfo,0.734,0.627,76,17
Nyanza,Amajyepfo,0.733,0.628,70,44
Nyaruguru,Amajyepfo,0.757,0.605,49,51
Ruhango,Amajyepfo,0.691,0.63,35,19
Karongi,Uburengerazuba,0.716,0.633,20,62
Ngororero,Uburengerazuba,0.708,0.638,72,45
Nyabihu,Uburengerazuba,0.773,0.681,25,70
Nyamasheke,Uburengerazuba,0.694,0.602,89,70
Rubavu,Uburengerazuba,0.748,0.657,73,39
Rutsiro,Uburengerazuba,0.702,0.602,44,66
Rusizi,Uburengerazuba,0.752,0.683,88,16
