Akarere,Intara,Uruhare_Amashanyarazi_%,Inzu_Zifite_Amashanyarazi,Amashanyarazi_Solar,Amashanyarazi_Grid
Gasabo,Kigali,0.774,5787,40,6
Kicukiro,Kigali,0.825,6987,25,3
Nyarugenge,Kigali,0.812,6267,52,1
Bugesera,Uburasirazuba,0.747,5344,55,7
Gatsibo,Uburasirazuba,0.815,3924,10,5
Kayonza,Uburasirazuba,0.827,3994,43,7
Kirehe,Uburasirazuba,0.745,6532,21,3
Ngoma,Uburasirazuba,0.755,4624,36,6
Nyagatare,Uburasirazuba,0.757,1368,52,5
Rwamagana,Uburasirazuba,0.764,7372,12,4
Burera,Amajyaruguru,0.765,2638,5,6
Gakenke,Amajyaruguru,0.83,5678,13,4
Gicumbi,Amajyaruguru,0.775,5030,40,3
Musanze,Amajyaruguru,0.765,6886,15,3
Rulindo,Amajyaruguru,0.788,2507,36,5
Gisagara,Amajyepfo,0.839,2925,58,5
Huye,Amajyepfo,0.767,4874,42,6
Kamonyi,Amajyepfo,0.745,5166,32,7
Muhanga,Amajyepfo,0.769,6551,38,3
Nyamagabe,Amajyepfo,0.804,5270,42,6
Nyanza,Amajyepfo,0.806,6836,39,7
Nyaruguru,Amajyepfo,0.805,3024,29,5
Ruhango,Amajyepfo,0.813,1448,21,6
Karongi,Uburengerazuba,0.758,1751,34,7
Ngororero,Uburengerazuba,0.793,7377,50,2
Nyabihu,Uburengerazuba,0.822,4269,49,6
Nyamasheke,Uburengerazuba,0.774,1629,57,1
Rubavu,Uburengerazuba,0.837,6993,44,7
Rutsiro,Uburengerazuba,0.837,6593,25,6
Rusizi,Uburengerazuba,0.741,4663,30,5
