Akarere,Intara,Ubuso_Ishyamba_ha,Uruhare_Ishyamba_%,Ishyamba_rya_Leta_ha,Ishyamba_ryigenga_ha,Ishoramari_Vuba_ha
Gasabo,Kigali,25612,0.096,8097,8172,5809
Kicukiro,Kigali,7899,0.053,16291,7586,6348
Nyarugenge,Kigali,14817,0.032,1746,482,1425
Bugesera,Uburasirazuba,20913,0.045,12031,5150,3152
Gatsibo,Uburasirazuba,12903,0.041,9260,1096,7989
Kayonza,Uburasirazuba,9356,0.067,7316,822,10539
Kirehe,Uburasirazuba,14919,0.173,8407,6058,7542
Ngoma,Uburasirazuba,13385,0.271,15735,1749,2343
Nyagatare,Uburasirazuba,36085,0.177,15740,1028,6482
Rwamagana,Uburasirazuba,1175,0.05,3422,4335,8347
Burera,Amajyaruguru,41819,0.271,10993,4421,7479
Gakenke,Amajyaruguru,46771,0.114,12258,6237,4830
Gicumbi,Amajyaruguru,15155,0.053,644,1078,338
Musanze,Amajyaruguru,46611,0.243,4082,5865,7849
Rulindo,Amajyaruguru,21425,0.183,14304,1782,3715
Gisagara,Amajyepfo,22727,0.143,783,1561,1956
Huye,Amajyepfo,33992,0.271,8698,7749,7084
Kamonyi,Amajyepfo,10383,0.168,15075,534,243
Muhanga,Amajyepfo,30592,0.205,17638,7649,8884
Nyamagabe,Amajyepfo,28964,0.164,5517,4428,5910
Nyanza,Amajyepfo,28737,0.179,12344,7364,5931
Nyaruguru,Amajyepfo,34543,0.157,7827,2897,902
Ruhango,Amajyepfo,42954,0.128,8730,4493,11276
Karongi,Uburengerazuba,17232,0.201,766,2649,2427
Ngororero,Uburengerazuba,17095,0.08,4266,8188,4168
Nyabihu,Uburengerazuba,29258,0.239,11962,1249,3626
Nyamasheke,Uburengerazuba,34406,0.27,15062,6084,8854
Rubavu,Uburengerazuba,38390,0.228,15263,5626,3497
Rutsiro,Uburengerazuba,36189,0.193,2672,1859,7328
Rusizi,Uburengerazuba,5652,0.128,17890,2788,2631
