Akarere,Intara,Inka,Intama,Imbuzi,Inkoko,Ingurube,Inkwavu
Gasabo,Kigali,69803,33595,14056,40904,55380,85347
Kicukiro,Kigali,27118,17979,19081,24098,101650,40668
Nyarugenge,Kigali,59898,28711,18064,27689,305134,63296
Bugesera,Uburasirazuba,41205,4456,18906,41349,447081,19924
Gatsibo,Uburasirazuba,12594,12660,4609,142467,366578,74347
Kayonza,Uburasirazuba,24894,16231,5513,19430,294449,84786
Kirehe,Uburasirazuba,16519,19958,9124,65964,337769,62020
Ngoma,Uburasirazuba,19975,4209,4245,65444,59329,85158
Nyagatare,Uburasirazuba,28126,21680,10292,135597,63745,56691
Rwamagana,Uburasirazuba,18866,44618,8018,94697,146382,49180
Burera,Amajyaruguru,21968,15622,2171,152924,340384,13142
Gakenke,Amajyaruguru,30784,28448,19443,122048,285728,84875
Gicumbi,Amajyaruguru,66380,22675,11174,174709,247915,88757
Musanze,Amajyaruguru,40719,6710,18152,145718,261008,90543
Rulindo,Amajyaruguru,65033,34844,12785,32853,383450,21423
Gisagara,Amajyepfo,78827,48691,16360,33975,223219,98886
Huye,Amajyepfo,37654,49871,12917,168480,143785,91526
Kamonyi,Amajyepfo,73563,6149,8373,85497,176540,31239
Muhanga,Amajyepfo,39361,44052,15944,128381,270829,44861
Nyamagabe,Amajyepfo,36083,9965,12170,154091,471031,92868
Nyanza,Amajyepfo,47201,7746,6435,111770,185057,44034
Nyaruguru,Amajyepfo,33728,25822,12570,17118,152198,18666
Ruhango,Amajyepfo,50649,35602,1736,179019,179117,27570
Karongi,Uburengerazuba,60931,46279,18043,13844,412345,33790
Ngororero,Uburengerazuba,26025,26106,14227,28661,437072,17766
Nyabihu,Uburengerazuba,78066,23826,16690,61189,220050,66327
Nyamasheke,Uburengerazuba,19095,12935,16655,150779,384556,87382
Rubavu,Uburengerazuba,66576,27217,4020,69113,263261,17886
Rutsiro,Uburengerazuba,68847,44328,1550,46625,419806,84512
Rusizi,Uburengerazuba,23711,24453,18442,143880,151509,83233
