Akarere,Intara,Umubare_Abanyeshuri,Abahungu,Abakobwa,Uruhare_Kwinjira_%,Umubare_Abamwarimu,Umubare_Abanyeshuri_Kumwarimu
Gasabo,Kigali,46234,26966,5889,0.941,1491,17
Kicukiro,Kigali,63495,4186,23812,0.993,932,38
Nyarugenge,Kigali,71244,21188,11180,0.996,778,31
Bugesera,Uburasirazuba,73371,7220,24668,0.954,1501,38
Gatsibo,Uburasirazuba,73752,10302,35760,0.918,1855,39
Kayonza,Uburasirazuba,36583,21833,37717,0.996,1866,36
Kirehe,Uburasirazuba,8667,24446,7862,0.998,712,39
Ngoma,Uburasirazuba,47117,21780,37788,0.985,1042,19
Nyagatare,Uburasirazuba,16110,9849,20520,0.926,535,33
Rwamagana,Uburasirazuba,64935,24440,31262,0.918,1741,37
Burera,Amajyaruguru,67543,22550,7122,0.967,532,18
Gakenke,Amajyaruguru,31299,12929,13388,0.924,1556,38
Gicumbi,Amajyaruguru,29740,30023,4411,0.965,1446,16
Musanze,Amajyaruguru,16512,15045,18594,0.95,1811,32
Rulindo,Amajyaruguru,30390,8226,36980,0.93,1306,20
Gisagara,Amajyepfo,17616,9514,30918,0.961,948,28
Huye,Amajyepfo,41899,23350,27907,0.922,645,33
Kamonyi,Amajyepfo,70865,6947,20082,0.97,340,29
Muhanga,Amajyepfo,12446,23715,22197,0.957,469,23
Nyamagabe,Amajyepfo,45464,8184,11394,0.958,363,27
Nyanza,Amajyepfo,66225,20323,22476,0.946,303,26
Nyaruguru,Amajyepfo,66097,30038,18254,0.982,1542,29
Ruhango,Amajyepfo,11260,16403,6295,0.999,1882,16
Karongi,Uburengerazuba,75231,5142,18719,0.977,1578,39
Ngororero,Uburengerazuba,54503,19133,39742,0.938,1765,37
Nyabihu,Uburengerazuba,35046,28578,27824,0.954,1376,23
Nyamasheke,Uburengerazuba,20850,23341,23038,0.973,600,15
Rubavu,Uburengerazuba,9636,14741,28245,0.954,1157,35
Rutsiro,Uburengerazuba,25820,16461,13923,0.994,1505,17
Rusizi,Uburengerazuba,66282,19092,31577,0.988,228,20
