Akarere,Intara,Umubare_Abanyeshuri,Abahungu,Abakobwa,Uruhare_Kwinjira_%,Umubare_Abamwarimu,Umubare_Abanyeshuri_Kumwarimu
Gasabo,Kigali,14866,23013,5531,0.921,1762,37
Kicukiro,Kigali,42236,5676,6676,0.993,1818,29
Nyarugenge,Kigali,10368,37435,15321,0.996,1256,33
Bugesera,Uburasirazuba,59315,18338,6769,0.916,632,35
Gatsibo,Uburasirazuba,36019,36274,15942,0.976,451,39
Kayonza,Uburasirazuba,60139,22028,39075,0.905,986,35
Kirehe,Uburasirazuba,32522,31684,38374,0.94,1592,15
Ngoma,Uburasirazuba,27679,39733,21661,0.936,1894,25
Nyagatare,Uburasirazuba,56938,27784,7084,0.962,1636,32
Rwamagana,Uburasirazuba,13906,9551,29620,0.963,1531,22
Burera,Amajyaruguru,15671,4187,15097,0.936,685,18
Gakenke,Amajyaruguru,21492,20158,23970,0.941,247,23
Gicumbi,Amajyaruguru,14700,25529,15679,0.939,725,24
Musanze,Amajyaruguru,14098,36440,36587,0.998,1229,19
Rulindo,Amajyaruguru,35412,8998,14840,0.949,313,25
Gisagara,Amajyepfo,38319,21432,6769,0.925,643,30
Huye,Amajyepfo,50754,11039,7851,0.93,1907,23
Kamonyi,Amajyepfo,52653,32946,15863,0.933,1667,36
Muhanga,Amajyepfo,78144,8900,15543,0.995,561,22
Nyamagabe,Amajyepfo,77449,38874,14492,0.969,1083,29
Nyanza,Amajyepfo,25454,17537,33393,0.939,404,29
Nyaruguru,Amajyepfo,50640,23642,28541,0.955,1915,26
Ruhango,Amajyepfo,59002,19784,14487,0.969,1674,34
Karongi,Uburengerazuba,37458,21974,26800,0.924,1385,32
Ngororero,Uburengerazuba,64813,6662,39665,0.948,921,27
Nyabihu,Uburengerazuba,74268,28901,23571,0.979,847,37
Nyamasheke,Uburengerazuba,46657,26974,7059,0.977,1383,23
Rubavu,Uburengerazuba,54583,5594,39409,0.968,919,33
Rutsiro,Uburengerazuba,77531,19496,4379,0.926,1119,27
Rusizi,Uburengerazuba,49797,24708,20048,0.939,1590,29
