Akarere,Intara,Inzira_Km_Byose,Inzira_za_Leta_Km,Inzira_Zahariwe_Km,Inzira_Nziza_%
Gasabo,Kigali,163,360,134,13,0.668
Kicukiro,Kigali,770,252,128,26,0.654
Nyarugenge,Kigali,164,388,182,36,0.684
Bugesera,Uburasirazuba,205,72,112,81,0.716
Gatsibo,Uburasirazuba,281,287,109,17,0.73
Kayonza,Uburasirazuba,781,75,187,92,0.662
Kirehe,Uburasirazuba,468,380,32,35,0.718
Ngoma,Uburasirazuba,595,310,177,44,0.671
Nyagatare,Uburasirazuba,382,374,179,93,0.657
Rwamagana,Uburasirazuba,634,60,45,77,0.691
Burera,Amajyaruguru,250,235,53,27,0.699
Gakenke,Amajyaruguru,319,281,100,52,0.69
Gicumbi,Amajyaruguru,584,162,171,51,0.644
Musanze,Amajyaruguru,194,32,155,6,0.657
Rulindo,Amajyaruguru,359,302,197,76,0.637
Gisagara,Amajyepfo,745,394,174,51,0.662
Huye,Amajyepfo,393,113,86,8,0.704
Kamonyi,Amajyepfo,335,138,126,75,0.689
Muhanga,Amajyepfo,443,352,159,54,0.675
Nyamagabe,Amajyepfo,670,36,199,54,0.67
Nyanza,Amajyepfo,601,231,108,64,0.635
Nyaruguru,Amajyepfo,268,171,67,83,0.676
Ruhango,Amajyepfo,366,252,20,54,0.644
Karongi,Uburengerazuba,672,191,147,15,0.708
Ngororero,Uburengerazuba,753,284,35,44,0.675
Nyabihu,Uburengerazuba,184,244,145,24,0.675
Nyamasheke,Uburengerazuba,237,282,182,80,0.702
Rubavu,Uburengerazuba,142,63,95,39,0.682
Rutsiro,Uburengerazuba,338,320,107,95,0.668
Rusizi,Uburengerazuba,335,311,183,58,0.696
