Akarere,Intara,Imodoka_Byose,Imodoka_Ubwoko_Saloon,Imodoka_Nini_Camion,Imodoka_Moto,Bisi,Ibindi_Bicombozi
Gasabo,Kigali,16858,9580,460,3562,1265,216
Kicukiro,Kigali,8826,11800,1104,2260,138,87
Nyarugenge,Kigali,25236,1972,96,3364,611,83
Bugesera,Uburasirazuba,7681,1139,3069,5983,1075,436
Gatsibo,Uburasirazuba,16495,6424,1143,836,1476,257
Kayonza,Uburasirazuba,27735,10884,2382,1237,276,45
Kirehe,Uburasirazuba,8807,9609,2058,5164,1781,118
Ngoma,Uburasirazuba,13827,4831,100,2520,1282,401
Nyagatare,Uburasirazuba,21776,11161,4063,4202,216,309
Rwamagana,Uburasirazuba,20498,416,4404,6005,1191,67
Burera,Amajyaruguru,14140,3290,3344,6815,656,335
Gakenke,Amajyaruguru,5750,12419,2888,6760,1580,306
Gicumbi,Amajyaruguru,25218,5923,4314,3726,488,306
Musanze,Amajyaruguru,24908,5174,1901,6958,567,22
Rulindo,Amajyaruguru,14754,4561,2771,3079,827,435
Gisagara,Amajyepfo,22268,3856,4363,3532,1238,211
Huye,Amajyepfo,4546,12571,2822,4677,557,132
Kamonyi,Amajyepfo,22474,350,222,2038,1073,27
Muhanga,Amajyepfo,8840,5679,2984,84,463,160
Nyamagabe,Amajyepfo,8218,11188,3007,5400,291,42
Nyanza,Amajyepfo,7870,12947,917,4129,159,101
Nyaruguru,Amajyepfo,13459,4707,3660,4488,769,435
Ruhango,Amajyepfo,3108,3507,1387,2230,1021,306
Karongi,Uburengerazuba,9300,7579,3087,1460,257,251
Ngororero,Uburengerazuba,8709,1249,2567,4427,989,171
Nyabihu,Uburengerazuba,24575,5764,658,3137,574,420
Nyamasheke,Uburengerazuba,20067,6168,1947,2989,747,16
Rubavu,Uburengerazuba,15825,12453,1917,5310,1113,138
Rutsiro,Uburengerazuba,7097,6731,607,3839,1024,134
Rusizi,Uburengerazuba,21247,5195,1837,121,1456,394
