Akarere,Intara,Inzu_z_Inkiko,Ibirego_Byashyikirijwe,Ibirego_Byakemuwe,Abacamanza,Ibirego_bya_Gacaca,Abagaminzi
Gasabo,Kigali,31,288,281,10,3489,11
Kicukiro,Kigali,7,2403,917,3,1726,11
Nyarugenge,Kigali,23,1425,863,15,677,3
Bugesera,Uburasirazuba,22,1420,88,16,3363,4
Gatsibo,Uburasirazuba,30,1201,71,2,1161,11
Kayonza,Uburasirazuba,42,1223,798,18,1756,6
Kirehe,Uburasirazuba,35,672,178,6,3978,1
Ngoma,Uburasirazuba,38,1486,696,17,2567,6
Nyagatare,Uburasirazuba,36,369,634,12,3404,2
Rwamagana,Uburasirazuba,7,853,1058,4,778,3
Burera,Amajyaruguru,23,2287,452,7,2189,11
Gakenke,Amajyaruguru,28,1934,252,3,3047,6
Gicumbi,Amajyaruguru,44,2080,834,7,2788,8
Musanze,Amajyaruguru,9,1483,995,2,2144,5
Rulindo,Amajyaruguru,26,903,1096,3,745,3
Gisagara,Amajyepfo,13,2250,751,16,2173,6
Huye,Amajyepfo,29,1910,172,10,444,10
Kamonyi,Amajyepfo,46,1240,401,8,3295,10
Muhanga,Amajyepfo,31,1927,436,14,260,9
Nyamagabe,Amajyepfo,15,2153,205,6,632,2
Nyanza,Amajyepfo,8,1751,949,3,3132,9
Nyaruguru,Amajyepfo,6,340,959,11,378,2
Ruhango,Amajyepfo,16,240,814,15,3162,11
Karongi,Uburengerazuba,14,2260,254,8,499,10
Ngororero,Uburengerazuba,47,2376,443,4,2077,9
Nyabihu,Uburengerazuba,15,1459,154,12,203,3
Nyamasheke,Uburengerazuba,13,762,1085,11,3898,2
Rubavu,Uburengerazuba,14,1300,860,8,2419,5
Rutsiro,Uburengerazuba,48,517,451,8,974,3
Rusizi,Uburengerazuba,10,2462,183,3,673,9
