Akarere,Intara,Inzira_Km_Byose,Inzira_za_Leta_Km,Inzira_Zahariwe_Km,Inzira_Nziza_%
Gasabo,Kigali,162,350,43,72,0.752
Kicukiro,Kigali,282,312,94,64,0.722
Nyarugenge,Kigali,148,97,128,29,0.756
Bugesera,Uburasirazuba,691,226,11,88,0.734
Gatsibo,Uburasirazuba,491,200,87,12,0.77
Kayonza,Uburasirazuba,233,227,127,57,0.793
Kirehe,Uburasirazuba,86,76,134,8,0.795
Ngoma,Uburasirazuba,550,338,66,92,0.715
Nyagatare,Uburasirazuba,362,87,137,63,0.779
Rwamagana,Uburasirazuba,496,319,43,48,0.768
Burera,Amajyaruguru,748,55,66,40,0.748
Gakenke,Amajyaruguru,100,182,114,32,0.723
Gicumbi,Amajyaruguru,570,124,110,54,0.78
Musanze,Amajyaruguru,509,61,148,64,0.809
Rulindo,Amajyaruguru,412,281,187,98,0.739
Gisagara,Amajyepfo,506,140,109,99,0.745
Huye,Amajyepfo,147,233,108,65,0.759
Kamonyi,Amajyepfo,184,251,144,98,0.71
Muhanga,Amajyepfo,67,257,32,85,0.79
Nyamagabe,Amajyepfo,799,177,73,58,0.774
Nyanza,Amajyepfo,58,96,63,80,0.741
Nyaruguru,Amajyepfo,430,143,11,70,0.744
Ruhango,Amajyepfo,593,254,15,21,0.743
Karongi,Uburengerazuba,303,275,184,80,0.775
Ngororero,Uburengerazuba,411,258,179,56,0.744
Nyabihu,Uburengerazuba,637,177,151,84,0.74
Nyamasheke,Uburengerazuba,593,139,111,24,0.779
Rubavu,Uburengerazuba,649,357,77,97,0.738
Rutsiro,Uburengerazuba,73,393,129,85,0.767
Rusizi,Uburengerazuba,342,246,174,76,0.781
