Akarere,Intara,Amashuri_Yisumbuye,Abanyeshuri_Byose,Abahungu,Abakobwa,Abamurimu,Uruhare_Kuzamura_%
Gasabo,Kigali,12,8313,4152,10005,429,0.804
Kicukiro,Kigali,14,26810,2085,12201,515,0.835
Nyarugenge,Kigali,28,20425,7881,8952,595,0.839
Bugesera,Uburasirazuba,28,23557,869,4247,526,0.865
Gatsibo,Uburasirazuba,69,2413,10154,2193,94,0.79
Kayonza,Uburasirazuba,16,15067,13185,3596,689,0.926
Kirehe,Uburasirazuba,29,12082,10611,7097,508,0.859
Ngoma,Uburasirazuba,51,11631,2507,11590,740,0.847
Nyagatare,Uburasirazuba,13,25599,3946,3654,594,0.864
Rwamagana,Uburasirazuba,8,23742,3467,976,228,0.815
Burera,Amajyaruguru,16,24490,7207,4792,690,0.881
Gakenke,Amajyaruguru,6,21646,7094,9507,639,0.863
Gicumbi,Amajyaruguru,7,16880,3240,8325,46,0.885
Musanze,Amajyaruguru,47,10876,12620,2632,222,0.86
Rulindo,Amajyaruguru,71,21069,4227,7965,479,0.804
Gisagara,Amajyepfo,19,17366,4949,4847,263,0.798
Huye,Amajyepfo,25,1680,8605,9259,480,0.841
Kamonyi,Amajyepfo,18,2028,11343,10502,791,0.81
Muhanga,Amajyepfo,46,21151,11727,9569,802,0.903
Nyamagabe,Amajyepfo,31,2373,8915,8109,800,0.818
Nyanza,Amajyepfo,42,9298,3343,2860,327,0.855
Nyaruguru,Amajyepfo,57,20411,6627,5714,688,0.918
Ruhango,Amajyepfo,40,17071,11212,9471,846,0.792
Karongi,Uburengerazuba,12,907,824,1080,49,0.821
Ngororero,Uburengerazuba,5,12961,10310,13472,123,0.835
Nyabihu,Uburengerazuba,52,27212,10489,5470,280,0.878
Nyamasheke,Uburengerazuba,26,1848,2033,2328,432,0.92
Rubavu,Uburengerazuba,76,25684,2036,9059,859,0.899
Rutsiro,Uburengerazuba,69,26158,2774,1931,663,0.848
Rusizi,Uburengerazuba,69,19732,4114,706,524,0.789
