Akarere,Intara,Umubare_Indwara_Sida,Uruhare_Sida_%,Umubare_Malariya,Uruhare_Malariya_%,Abarerurwa_Bakize
Gasabo,Kigali,2554,0.0136,3185,0.0335,1021
Kicukiro,Kigali,1255,0.0078,1011,0.0252,1306
Nyarugenge,Kigali,2777,0.0064,2158,0.0164,1062
Bugesera,Uburasirazuba,1931,0.0083,6144,0.0259,2990
Gatsibo,Uburasirazuba,4153,0.0197,566,0.0301,1392
Kayonza,Uburasirazuba,4541,0.0142,5158,0.0388,2079
Kirehe,Uburasirazuba,1740,0.0187,7587,0.0216,1666
Ngoma,Uburasirazuba,1557,0.0187,6665,0.0212,2428
Nyagatare,Uburasirazuba,2338,0.0057,7237,0.0158,1590
Rwamagana,Uburasirazuba,4751,0.0075,7672,0.0261,121
Burera,Amajyaruguru,514,0.0151,6301,0.0359,1330
Gakenke,Amajyaruguru,698,0.0131,5770,0.0393,2348
Gicumbi,Amajyaruguru,3303,0.0191,6101,0.0146,1431
Musanze,Amajyaruguru,1792,0.0063,907,0.0338,1718
Rulindo,Amajyaruguru,2959,0.0084,2439,0.0216,1927
Gisagara,Amajyepfo,2278,0.0053,5549,0.026,1960
Huye,Amajyepfo,3168,0.0163,4892,0.031,310
Kamonyi,Amajyepfo,4654,0.0066,6401,0.019,350
Muhanga,Amajyepfo,3873,0.0116,3463,0.0298,1474
Nyamagabe,Amajyepfo,2760,0.007,3432,0.0339,1682
Nyanza,Amajyepfo,4808,0.0072,5579,0.0374,2405
Nyaruguru,Amajyepfo,3700,0.0106,7620,0.0266,1709
Ruhango,Amajyepfo,791,0.0051,4974,0.0261,2846
Karongi,Uburengerazuba,1662,0.0162,7276,0.0203,1296
Ngororero,Uburengerazuba,3300,0.0127,1707,0.0166,2520
Nyabihu,Uburengerazuba,1132,0.0077,6497,0.0356,2569
Nyamasheke,Uburengerazuba,4675,0.0199,3959,0.0265,942
Rubavu,Uburengerazuba,523,0.0065,5941,0.0246,1059
Rutsiro,Uburengerazuba,815,0.0148,1250,0.0286,2710
Rusizi,Uburengerazuba,1725,0.0118,5122,0.0192,1794
