Akarere,Intara,Uruhare_Telephone_%,Uruhare_Internet_%,Umubare_SIM,Umubare_Internet_Abakoresha
Gasabo,Kigali,0.79,0.742,516370,150676
Kicukiro,Kigali,0.837,0.661,557148,379843
Nyarugenge,Kigali,0.838,0.661,286739,131310
Bugesera,Uburasirazuba,0.813,0.661,255504,176459
Gatsibo,Uburasirazuba,0.846,0.699,139798,300104
Kayonza,Uburasirazuba,0.829,0.698,194639,180450
Kirehe,Uburasirazuba,0.814,0.736,550474,326878
Ngoma,Uburasirazuba,0.858,0.688,458609,327347
Nyagatare,Uburasirazuba,0.831,0.745,150323,130046
Rwamagana,Uburasirazuba,0.854,0.722,199673,256646
Burera,Amajyaruguru,0.809,0.662,77297,223288
Gakenke,Amajyaruguru,0.809,0.67,198057,291774
Gicumbi,Amajyaruguru,0.863,0.683,132876,207560
Musanze,Amajyaruguru,0.824,0.691,489704,399226
Rulindo,Amajyaruguru,0.836,0.739,231636,340547
Gisagara,Amajyepfo,0.885,0.666,476609,47126
Huye,Amajyepfo,0.837,0.679,512846,330555
Kamonyi,Amajyepfo,0.873,0.672,472480,114605
Muhanga,Amajyepfo,0.867,0.704,455690,32733
Nyamagabe,Amajyepfo,0.836,0.737,336626,393204
Nyanza,Amajyepfo,0.837,0.728,221660,142764
Nyaruguru,Amajyepfo,0.853,0.664,565581,217951
Ruhango,Amajyepfo,0.815,0.724,159297,357257
Karongi,Uburengerazuba,0.876,0.682,112110,260505
Ngororero,Uburengerazuba,0.822,0.677,201855,65466
Nyabihu,Uburengerazuba,0.869,0.661,73096,317720
Nyamasheke,Uburengerazuba,0.838,0.72,254269,54002
Rubavu,Uburengerazuba,0.806,0.669,390254,373722
Rutsiro,Uburengerazuba,0.89,0.723,82876,264938
Rusizi,Uburengerazuba,0.86,0.739,119205,108416
