Akarere,Intara,Gukura_Nabi_%,Ibiro_Bikabije_%,Uruhare_Inzano_Kwononoka_%,Abana_Barinzwe,Abana_Barongeye_Inkunga_y_Indyo
Gasabo,Kigali,0.172,0.064,0.821,2529,845
Kicukiro,Kigali,0.105,0.072,0.885,454,779
Nyarugenge,Kigali,0.198,0.062,0.839,438,883
Bugesera,Uburasirazuba,0.17,0.086,0.832,939,734
Gatsibo,Uburasirazuba,0.145,0.105,0.859,1837,516
Kayonza,Uburasirazuba,0.198,0.082,0.843,234,572
Kirehe,Uburasirazuba,0.13,0.079,0.885,554,521
Ngoma,Uburasirazuba,0.138,0.045,0.818,2441,167
Nyagatare,Uburasirazuba,0.155,0.046,0.859,1634,854
Rwamagana,Uburasirazuba,0.162,0.104,0.834,1998,850
Burera,Amajyaruguru,0.198,0.059,0.83,1549,620
Gakenke,Amajyaruguru,0.106,0.091,0.876,2654,164
Gicumbi,Amajyaruguru,0.136,0.101,0.815,108,564
Musanze,Amajyaruguru,0.16,0.072,0.793,2738,567
Rulindo,Amajyaruguru,0.134,0.106,0.861,764,557
Gisagara,Amajyepfo,0.166,0.056,0.8,1849,465
Huye,Amajyepfo,0.077,0.048,0.884,1645,856
Kamonyi,Amajyepfo,0.114,0.077,0.857,465,335
Muhanga,Amajyepfo,0.073,0.072,0.858,2472,469
Nyamagabe,Amajyepfo,0.086,0.076,0.805,2761,584
Nyanza,Amajyepfo,0.108,0.108,0.838,145,561
Nyaruguru,Amajyepfo,0.197,0.045,0.821,546,868
Ruhango,Amajyepfo,0.134,0.04,0.822,164,818
Karongi,Uburengerazuba,0.139,0.117,0.885,600,573
Ngororero,Uburengerazuba,0.085,0.06,0.818,2453,824
Nyabihu,Uburengerazuba,0.144,0.092,0.878,2004,796
Nyamasheke,Uburengerazuba,0.085,0.053,0.87,172,73
Rubavu,Uburengerazuba,0.135,0.126,0.883,2277,308
Rutsiro,Uburengerazuba,0.101,0.071,0.8,1495,814
Rusizi,Uburengerazuba,0.13,0.094,0.89,2583,846
