Akarere,Intara,Amashami_ya_Banki,Aho_Gukura_Amafaranga_ATM,Amasosiyete_Mpuzamashako,Amafaranga_Inguzanyo_Miliyoni_Frw,Uruhare_Abafite_Konti_%
Gasabo,Kigali,3,24,381,2971,0.497
Kicukiro,Kigali,15,41,75,397,0.486
Nyarugenge,Kigali,8,50,215,1245,0.654
Bugesera,Uburasirazuba,6,96,344,1306,0.522
Gatsibo,Uburasirazuba,15,33,215,511,0.554
Kayonza,Uburasirazuba,4,96,199,4928,0.613
Kirehe,Uburasirazuba,11,45,457,2313,0.3
Ngoma,Uburasirazuba,9,83,158,4863,0.3
Nyagatare,Uburasirazuba,18,50,306,4213,0.452
Rwamagana,Uburasirazuba,7,65,300,2600,0.318
Burera,Amajyaruguru,15,58,164,2036,0.349
Gakenke,Amajyaruguru,3,57,154,2216,0.544
Gicumbi,Amajyaruguru,19,35,347,1778,0.405
Musanze,Amajyaruguru,15,48,138,4916,0.437
Rulindo,Amajyaruguru,9,61,27,3490,0.559
Gisagara,Amajyepfo,1,50,452,3396,0.465
Huye,Amajyepfo,18,71,385,2736,0.615
Kamonyi,Amajyepfo,13,12,34,4177,0.569
Muhanga,Amajyepfo,13,38,410,4154,0.443
Nyamagabe,Amajyepfo,4,77,354,141,0.485
Nyanza,Amajyepfo,18,47,126,196,0.412
Nyaruguru,Amajyepfo,18,38,63,3105,0.421
Ruhango,Amajyepfo,14,27,257,1878,0.412
Karongi,Uburengerazuba,18,72,120,1060,0.628
Ngororero,Uburengerazuba,8,87,293,2520,0.521
Nyabihu,Uburengerazuba,13,58,347,2869,0.326
Nyamasheke,Uburengerazuba,3,11,144,2892,0.391
Rubavu,Uburengerazuba,10,79,112,3422,0.697
Rutsiro,Uburengerazuba,14,55,141,2844,0.482
Rusizi,Uburengerazuba,18,65,472,354,0.676
