Akarere,Intara,Uruhare_Amashanyarazi_%,Inzu_Zifite_Amashanyarazi,Amashanyarazi_Solar,Amashanyarazi_Grid
Gasabo,Kigali,0.538,842,24,6
Kicukiro,Kigali,0.585,7664,28,6
Nyarugenge,Kigali,0.555,5143,17,2
Bugesera,Uburasirazuba,0.544,1008,23,5
Gatsibo,Uburasirazuba,0.54,1988,30,1
Kayonza,Uburasirazuba,0.562,994,26,4
Kirehe,Uburasirazuba,0.503,5427,12,4
Ngoma,Uburasirazuba,0.505,3529,16,3
Nyagatare,Uburasirazuba,0.576,3529,46,6
Rwamagana,Uburasirazuba,0.525,1389,6,4
Burera,Amajyaruguru,0.6,3319,40,6
Gakenke,Amajyaruguru,0.565,6230,57,2
Gicumbi,Amajyaruguru,0.502,1897,11,5
Musanze,Amajyaruguru,0.556,2369,43,6
Rulindo,Amajyaruguru,0.517,5172,46,1
Gisagara,Amajyepfo,0.582,7745,10,1
Huye,Amajyepfo,0.531,5676,57,3
Kamonyi,Amajyepfo,0.572,1347,42,5
Muhanga,Amajyepfo,0.51,6361,51,5
Nyamagabe,Amajyepfo,0.512,7883,48,3
Nyanza,Amajyepfo,0.543,3468,32,3
Nyaruguru,Amajyepfo,0.585,6720,10,7
Ruhango,Amajyepfo,0.564,6766,43,4
Karongi,Uburengerazuba,0.573,7751,19,6
Ngororero,Uburengerazuba,0.554,4281,28,6
Nyabihu,Uburengerazuba,0.527,6932,50,1
Nyamasheke,Uburengerazuba,0.588,2555,30,5
Rubavu,Uburengerazuba,0.538,1006,51,2
Rutsiro,Uburengerazuba,0.521,6544,23,7
Rusizi,Uburengerazuba,0.57,2789,5,7
