Akarere,Intara,Imodoka_Byose,Imodoka_Ubwoko_Saloon,Imodoka_Nini_Camion,Imodoka_Moto,Bisi,Ibindi_Bicombozi
Gasabo,Kigali,13102,848,283,5822,1175,152
Kicukiro,Kigali,3088,3883,2187,2372,123,334
Nyarugenge,Kigali,19013,9650,276,1499,272,334
Bugesera,Uburasirazuba,14070,3022,3053,5977,552,142
Gatsibo,Uburasirazuba,27700,232,2202,4839,219,4
Kayonza,Uburasirazuba,17064,1705,472,1493,860,375
Kirehe,Uburasirazuba,12649,865,583,2879,1769,369
Ngoma,Uburasirazuba,23631,7175,3704,4794,1548,279
Nyagatare,Uburasirazuba,12332,8325,864,5744,1188,80
Rwamagana,Uburasirazuba,20869,7174,2163,2087,1206,431
Burera,Amajyaruguru,14005,8729,1784,4907,206,189
Gakenke,Amajyaruguru,12125,509,2078,3984,34,139
Gicumbi,Amajyaruguru,18205,11627,2804,375,1634,433
Musanze,Amajyaruguru,13314,9441,1274,6873,653,385
Rulindo,Amajyaruguru,14288,4632,3189,2783,127,296
Gisagara,Amajyepfo,10111,9391,1553,5029,1419,128
Huye,Amajyepfo,21447,4042,1796,6419,1166,171
Kamonyi,Amajyepfo,13420,8617,2609,6497,1399,238
Muhanga,Amajyepfo,3972,4314,4300,2488,1117,184
Nyamagabe,Amajyepfo,1640,11098,749,748,204,420
Nyanza,Amajyepfo,13548,9914,4416,5675,1322,109
Nyaruguru,Amajyepfo,25234,2385,4020,5310,764,32
Ruhango,Amajyepfo,17288,1620,3816,584,1377,274
Karongi,Uburengerazuba,23602,12017,1472,4915,689,445
Ngororero,Uburengerazuba,16236,2716,1166,3107,525,93
Nyabihu,Uburengerazuba,4873,10607,3646,1410,1054,284
Nyamasheke,Uburengerazuba,18854,2765,3652,6261,656,185
Rubavu,Uburengerazuba,15485,1074,866,5131,1641,290
Rutsiro,Uburengerazuba,14094,10846,2583,3358,643,279
Rusizi,Uburengerazuba,15820,1921,339,3038,686,35
