Akarere,Intara,Uruhare_Ubukene_%,Ubukene_Bukarishye_%,Umusaruro_Umuntu_Frw,Imikorere_Nziza_%
Gasabo,Kigali,0.254,0.098,85994,36
Kicukiro,Kigali,0.434,0.067,248221,23
Nyarugenge,Kigali,0.43,0.18,244535,8
Bugesera,Uburasirazuba,0.397,0.092,211419,37
Gatsibo,Uburasirazuba,0.217,0.18,86076,34
Kayonza,Uburasirazuba,0.439,0.103,216236,34
Kirehe,Uburasirazuba,0.253,0.131,209304,29
Ngoma,Uburasirazuba,0.474,0.063,187117,38
Nyagatare,Uburasirazuba,0.369,0.128,79529,39
Rwamagana,Uburasirazuba,0.464,0.119,104901,22
Burera,Amajyaruguru,0.227,0.088,85949,23
Gakenke,Amajyaruguru,0.2,0.17,82307,9
Gicumbi,Amajyaruguru,0.415,0.17,217299,16
Musanze,Amajyaruguru,0.207,0.13,232617,32
Rulindo,Amajyaruguru,0.454,0.163,241717,18
Gisagara,Amajyepfo,0.483,0.107,61216,15
Huye,Amajyepfo,0.241,0.079,239225,32
Kamonyi,Amajyepfo,0.488,0.138,76582,38
Muhanga,Amajyepfo,0.408,0.171,205268,12
Nyamagabe,Amajyepfo,0.377,0.081,104432,29
Nyanza,Amajyepfo,0.238,0.147,239245,38
Nyaruguru,Amajyepfo,0.317,0.179,242688,6
Ruhango,Amajyepfo,0.381,0.171,243181,12
Karongi,Uburengerazuba,0.37,0.172,69535,31
Ngororero,Uburengerazuba,0.271,0.178,75256,35
Nyabihu,Uburengerazuba,0.227,0.145,174211,36
Nyamasheke,Uburengerazuba,0.334,0.092,92403,7
Rubavu,Uburengerazuba,0.277,0.073,40269,18
Rutsiro,Uburengerazuba,0.42,0.176,225755,22
Rusizi,Uburengerazuba,0.314,0.126,61299,21
