Akarere,Intara,Inka,Intama,Imbuzi,Inkoko,Ingurube,Inkwavu
Gasabo,Kigali,42884,32864,3353,15807,198784,61434
Kicukiro,Kigali,18318,43912,12150,76454,98486,89976
Nyarugenge,Kigali,61172,35375,6416,83447,98195,59364
Bugesera,Uburasirazuba,77368,43284,13300,138762,149160,43903
Gatsibo,Uburasirazuba,6503,39674,15583,11690,457527,66500
Kayonza,Uburasirazuba,50085,3397,5795,162966,166620,96867
Kirehe,Uburasirazuba,53205,22918,8153,76254,140959,49336
Ngoma,Uburasirazuba,55789,41742,8545,29439,265526,67923
Nyagatare,Uburasirazuba,68246,20588,13299,125719,163268,15269
Rwamagana,Uburasirazuba,9787,49452,13171,173683,145350,72553
Burera,Amajyaruguru,71928,17043,3848,155440,451849,81515
Gakenke,Amajyaruguru,65177,31201,13550,139343,366215,67263
Gicumbi,Amajyaruguru,79810,15193,8952,83772,36953,72266
Musanze,Amajyaruguru,47903,11926,14804,52249,276624,79565
Rulindo,Amajyaruguru,72989,34577,10638,170629,423506,88267
Gisagara,Amajyepfo,18585,7587,3430,59143,408005,77477
Huye,Amajyepfo,18730,34946,7377,26966,190536,75699
Kamonyi,Amajyepfo,28031,40040,7295,59506,161144,85865
Muhanga,Amajyepfo,40290,43720,12087,189417,54183,89495
Nyamagabe,Amajyepfo,42535,43772,8251,66687,45949,86152
Nyanza,Amajyepfo,15302,12413,8774,118186,455178,48469
Nyaruguru,Amajyepfo,28728,36636,15799,102640,322895,21798
Ruhango,Amajyepfo,52587,3221,6197,154626,100930,77625
Karongi,Uburengerazuba,41718,38887,2672,126751,324074,43322
Ngororero,Uburengerazuba,77399,21015,1716,47888,199088,6337
Nyabihu,Uburengerazuba,29165,42161,4620,138582,320809,28638
Nyamasheke,Uburengerazuba,57014,19184,3449,82874,302561,20866
Rubavu,Uburengerazuba,66788,17015,6525,148288,306257,37094
Rutsiro,Uburengerazuba,71598,49787,7511,181262,192440,22900
Rusizi,Uburengerazuba,76106,46155,8664,53399,369041,17464
