Akarere,Intara,Amazi_Meza_%,Isuku_%,Amazi_Kuruganda_%,Isuku_Byihuta_%
Gasabo,Kigali,0.894,0.688,22,33
Kicukiro,Kigali,0.887,0.613,48,21
Nyarugenge,Kigali,0.893,0.677,80,21
Bugesera,Uburasirazuba,0.854,0.641,70,26
Gatsibo,Uburasirazuba,0.854,0.628,76,41
Kayonza,Uburasirazuba,0.863,0.631,80,42
Kirehe,Uburasirazuba,0.894,0.637,91,78
Ngoma,Uburasirazuba,0.856,0.628,48,46
Nyagatare,Uburasirazuba,0.907,0.682,80,19
Rwamagana,Uburasirazuba,0.835,0.664,85,48
Burera,Amajyaruguru,0.82,0.685,83,29
Gakenke,Amajyaruguru,0.886,0.627,87,20
Gicumbi,Amajyaruguru,0.854,0.695,36,41
Musanze,Amajyaruguru,0.845,0.603,23,45
Rulindo,Amajyaruguru,0.834,0.699,48,11
Gisagara,Amajyepfo,0.903,0.684,68,65
Huye,Amajyepfo,0.824,0.629,82,58
Kamonyi,Amajyepfo,0.824,0.671,53,10
Muhanga,Amajyepfo,0.818,0.626,82,48
Nyamagabe,Amajyepfo,0.883,0.653,28,30
Nyanza,Amajyepfo,0.84,0.605,51,65
Nyaruguru,Amajyepfo,0.856,0.611,87,51
Ruhango,Amajyepfo,0.812,0.652,38,20
Karongi,Uburengerazuba,0.853,0.661,38,39
Ngororero,Uburengerazuba,0.876,0.609,93,14
Nyabihu,Uburengerazuba,0.863,0.651,94,48
Nyamasheke,Uburengerazuba,0.849,0.647,67,78
Rubavu,Uburengerazuba,0.835,0.602,79,34
Rutsiro,Uburengerazuba,0.883,0.663,77,61
Rusizi,Uburengerazuba,0.843,0.604,60,66
