Akarere,Intara,Ubuso_Ishyamba_ha,Uruhare_Ishyamba_%,Ishyamba_rya_Leta_ha,Ishyamba_ryigenga_ha,Ishoramari_Vuba_ha
Gasabo,Kigali,3116,0.025,15903,3264,2029
Kicukiro,Kigali,39896,0.253,962,647,5252
Nyarugenge,Kigali,29987,0.051,4344,2379,4182
Bugesera,Uburasirazuba,17631,0.032,15847,2466,1941
Gatsibo,Uburasirazuba,33405,0.154,12182,6381,11130
Kayonza,Uburasirazuba,21521,0.139,15212,1069,1404
Kirehe,Uburasirazuba,29657,0.223,17073,7426,647
Ngoma,Uburasirazuba,5864,0.184,15727,8205,2010
Nyagatare,Uburasirazuba,14658,0.135,9303,6614,1326
Rwamagana,Uburasirazuba,31378,0.107,2824,7649,5353
Burera,Amajyaruguru,20481,0.22,4717,7297,4194
Gakenke,Amajyaruguru,24686,0.042,6954,6813,4423
Gicumbi,Amajyaruguru,32221,0.059,13661,3841,2853
Musanze,Amajyaruguru,38663,0.127,7603,4172,10250
Rulindo,Amajyaruguru,38326,0.114,923,1378,267
Gisagara,Amajyepfo,38874,0.265,1892,2888,11786
Huye,Amajyepfo,8639,0.036,13761,5968,7751
Kamonyi,Amajyepfo,43408,0.035,11516,6443,7975
Muhanga,Amajyepfo,25381,0.097,7475,6153,6710
Nyamagabe,Amajyepfo,15233,0.213,16402,150,3465
Nyanza,Amajyepfo,25758,0.259,12725,4060,2580
Nyaruguru,Amajyepfo,26542,0.225,11875,6301,10668
Ruhango,Amajyepfo,37711,0.125,3872,2769,588
Karongi,Uburengerazuba,16654,0.209,13424,1203,11904
Ngororero,Uburengerazuba,14273,0.044,10111,4730,9120
Nyabihu,Uburengerazuba,8437,0.027,14420,5365,3009
Nyamasheke,Uburengerazuba,37362,0.209,17770,1065,860
Rubavu,Uburengerazuba,18467,0.183,6638,505,7863
Rutsiro,Uburengerazuba,6775,0.097,13368,4122,11797
Rusizi,Uburengerazuba,38833,0.277,10354,8057,7588
