Akarere,Intara,Uruhare_Ubukene_%,Ubukene_Bukarishye_%,Umusaruro_Umuntu_Frw,Imikorere_Nziza_%
Gasabo,Kigali,0.338,0.14,115226,7
Kicukiro,Kigali,0.36,0.086,130225,12
Nyarugenge,Kigali,0.281,0.159,110928,25
Bugesera,Uburasirazuba,0.37,0.118,112185,28
Gatsibo,Uburasirazuba,0.215,0.072,204616,21
Kayonza,Uburasirazuba,0.237,0.163,132670,5
Kirehe,Uburasirazuba,0.487,0.084,184604,9
Ngoma,Uburasirazuba,0.395,0.079,235872,14
Nyagatare,Uburasirazuba,0.396,0.09,118087,36
Rwamagana,Uburasirazuba,0.25,0.108,104156,29
Burera,Amajyaruguru,0.27,0.139,187776,5
Gakenke,Amajyaruguru,0.343,0.076,87500,28
Gicumbi,Amajyaruguru,0.203,0.143,211592,39
Musanze,Amajyaruguru,0.327,0.076,54873,18
Rulindo,Amajyaruguru,0.419,0.072,105803,35
Gisagara,Amajyepfo,0.241,0.153,198163,9
Huye,Amajyepfo,0.498,0.077,151406,5
Kamonyi,Amajyepfo,0.395,0.113,191710,26
Muhanga,Amajyepfo,0.245,0.109,184178,35
Nyamagabe,Amajyepfo,0.226,0.072,198013,25
Nyanza,Amajyepfo,0.315,0.176,106045,9
Nyaruguru,Amajyepfo,0.283,0.07,156213,26
Ruhango,Amajyepfo,0.382,0.153,184999,34
Karongi,Uburengerazuba,0.398,0.096,148727,22
Ngororero,Uburengerazuba,0.424,0.095,51459,36
Nyabihu,Uburengerazuba,0.486,0.119,63676,22
Nyamasheke,Uburengerazuba,0.378,0.123,245316,39
Rubavu,Uburengerazuba,0.48,0.076,220770,24
Rutsiro,Uburengerazuba,0.31,0.142,200172,38
Rusizi,Uburengerazuba,0.431,0.062,54181,14
