Akarere,Intara,Uruhare_Telephone_%,Uruhare_Internet_%,Umubare_SIM,Umubare_Internet_Abakoresha
Gasabo,Kigali,0.757,0.604,287720,164735
Kicukiro,Kigali,0.745,0.676,132251,326153
Nyarugenge,Kigali,0.748,0.63,597558,342768
Bugesera,Uburasirazuba,0.782,0.652,481933,134012
Gatsibo,Uburasirazuba,0.786,0.637,269121,282406
Kayonza,Uburasirazuba,0.736,0.661,312096,259347
Kirehe,Uburasirazuba,0.775,0.613,248529,232933
Ngoma,Uburasirazuba,0.823,0.606,60909,66070
Nyagatare,Uburasirazuba,0.817,0.676,159426,238839
Rwamagana,Uburasirazuba,0.795,0.597,479170,154941
Burera,Amajyaruguru,0.797,0.629,455089,358060
Gakenke,Amajyaruguru,0.768,0.609,397441,75042
Gicumbi,Amajyaruguru,0.747,0.661,235563,259883
Musanze,Amajyaruguru,0.787,0.665,89239,81559
Rulindo,Amajyaruguru,0.753,0.612,210245,121639
Gisagara,Amajyepfo,0.794,0.607,294694,347866
Huye,Amajyepfo,0.766,0.639,581039,177315
Kamonyi,Amajyepfo,0.748,0.582,450274,271568
Muhanga,Amajyepfo,0.824,0.65,94035,83425
Nyamagabe,Amajyepfo,0.74,0.586,533280,228404
Nyanza,Amajyepfo,0.733,0.62,470748,51635
Nyaruguru,Amajyepfo,0.756,0.596,410157,356479
Ruhango,Amajyepfo,0.761,0.605,206296,258062
Karongi,Uburengerazuba,0.743,0.664,65714,272148
Ngororero,Uburengerazuba,0.816,0.613,311885,390492
Nyabihu,Uburengerazuba,0.784,0.607,294664,388426
Nyamasheke,Uburengerazuba,0.8,0.598,378671,259798
Rubavu,Uburengerazuba,0.794,0.636,337902,263020
Rutsiro,Uburengerazuba,0.761,0.615,346817,325788
Rusizi,Uburengerazuba,0.774,0.617,192893,135357
