Akarere,Intara,Ubuso_Ishyamba_ha,Uruhare_Ishyamba_%,Ishyamba_rya_Leta_ha,Ishyamba_ryigenga_ha,Ishoramari_Vuba_ha
Gasabo,Kigali,35531,0.18,1291,3348,1912
Kicukiro,Kigali,14896,0.192,6584,9764,6770
Nyarugenge,Kigali,28141,0.108,17179,1968,1230
Bugesera,Uburasirazuba,42211,0.158,13743,1875,14981
Gatsibo,Uburasirazuba,25090,0.058,9042,6619,1458
Kayonza,Uburasirazuba,8025,0.138,12015,1107,13894
Kirehe,Uburasirazuba,48914,0.047,19516,3452,9005
Ngoma,Uburasirazuba,49542,0.063,16843,7279,4322
Nyagatare,Uburasirazuba,35961,0.187,5822,7915,9728
Rwamagana,Uburasirazuba,20611,0.158,12261,4103,7371
Burera,Amajyaruguru,14665,0.237,2606,2581,7559
Gakenke,Amajyaruguru,31790,0.066,2442,623,1209
Gicumbi,Amajyaruguru,34227,0.292,7961,6824,2460
Musanze,Amajyaruguru,31476,0.056,1992,7540,11560
Rulindo,Amajyaruguru,39843,0.085,13410,4953,4072
Gisagara,Amajyepfo,17837,0.262,11159,9530,667
Huye,Amajyepfo,22089,0.277,7980,3214,5769
Kamonyi,Amajyepfo,23523,0.039,11354,8617,4685
Muhanga,Amajyepfo,35596,0.163,3122,7185,7414
Nyamagabe,Amajyepfo,6359,0.212,13371,6885,8668
Nyanza,Amajyepfo,24319,0.261,10380,3974,7521
Nyaruguru,Amajyepfo,48572,0.197,7378,9780,4943
Ruhango,Amajyepfo,2379,0.042,16820,3553,11182
Karongi,Uburengerazuba,2318,0.271,7154,1063,5308
Ngororero,Uburengerazuba,18510,0.125,13394,2551,9791
Nyabihu,Uburengerazuba,30034,0.276,1777,3118,5196
Nyamasheke,Uburengerazuba,1965,0.118,9487,8647,8607
Rubavu,Uburengerazuba,45169,0.102,14071,5921,14789
Rutsiro,Uburengerazuba,19509,0.135,11664,8102,1680
Rusizi,Uburengerazuba,34080,0.121,10303,7672,5225
