Akarere,Intara,Amashuri_Yisumbuye,Abanyeshuri_Byose,Abahungu,Abakobwa,Abamurimu,Uruhare_Kuzamura_%
Gasabo,Kigali,43,18646,13566,3822,688,0.79
Kicukiro,Kigali,9,10228,10367,8829,743,0.792
Nyarugenge,Kigali,60,20306,563,10522,115,0.868
Bugesera,Uburasirazuba,71,10696,9662,9623,96,0.819
Gatsibo,Uburasirazuba,66,13116,10493,6934,469,0.895
Kayonza,Uburasirazuba,27,27975,2987,8386,76,0.833
Kirehe,Uburasirazuba,38,13410,12958,11912,876,0.85
Ngoma,Uburasirazuba,70,13153,2332,10607,400,0.784
Nyagatare,Uburasirazuba,15,9483,13860,8997,383,0.782
Rwamagana,Uburasirazuba,62,18834,2749,8463,198,0.794
Burera,Amajyaruguru,33,4962,4987,694,377,0.826
Gakenke,Amajyaruguru,74,15786,3497,7016,662,0.845
Gicumbi,Amajyaruguru,74,5231,13579,1212,866,0.79
Musanze,Amajyaruguru,28,13818,4334,3598,851,0.901
Rulindo,Amajyaruguru,35,1251,4588,2556,582,0.883
Gisagara,Amajyepfo,36,4202,2160,4233,663,0.901
Huye,Amajyepfo,68,10915,13597,1258,424,0.843
Kamonyi,Amajyepfo,20,9740,3574,12257,308,0.917
Muhanga,Amajyepfo,75,22222,7947,8250,324,0.809
Nyamagabe,Amajyepfo,14,9621,9004,13607,236,0.869
Nyanza,Amajyepfo,22,23112,7044,6788,56,0.857
Nyaruguru,Amajyepfo,11,21230,8881,1505,462,0.87
Ruhango,Amajyepfo,70,26869,4017,6512,708,0.899
Karongi,Uburengerazuba,25,4777,11929,1202,252,0.875
Ngororero,Uburengerazuba,28,23253,6962,2387,274,0.828
Nyabihu,Uburengerazuba,76,17289,7693,11608,595,0.924
Nyamasheke,Uburengerazuba,48,4161,10374,10402,207,0.9
Rubavu,Uburengerazuba,25,22328,6152,11532,49,0.819
Rutsiro,Uburengerazuba,15,1585,9262,10768,107,0.85
Rusizi,Uburengerazuba,71,4900,8912,7951,550,0.894
