Akarere,Intara,Amashuri_Yisumbuye,Abanyeshuri_Byose,Abahungu,Abakobwa,Abamurimu,Uruhare_Kuzamura_%
Gasabo,Kigali,33,25966,9290,1062,543,0.885
Kicukiro,Kigali,40,25351,4390,2613,289,0.83
Nyarugenge,Kigali,13,5094,11788,3108,458,0.781
Bugesera,Uburasirazuba,61,22764,12713,10905,77,0.807
Gatsibo,Uburasirazuba,29,19410,11899,3510,422,0.885
Kayonza,Uburasirazuba,71,3651,2293,10468,854,0.864
Kirehe,Uburasirazuba,36,10836,9905,679,491,0.884
Ngoma,Uburasirazuba,51,3781,6841,4193,519,0.843
Nyagatare,Uburasirazuba,9,8021,13301,5263,385,0.918
Rwamagana,Uburasirazuba,71,24626,2045,2603,530,0.88
Burera,Amajyaruguru,37,27905,5477,3976,97,0.898
Gakenke,Amajyaruguru,18,12099,8011,3558,166,0.8
Gicumbi,Amajyaruguru,56,1203,1215,11117,136,0.88
Musanze,Amajyaruguru,47,1140,12373,2264,831,0.909
Rulindo,Amajyaruguru,63,6012,6856,6910,125,0.838
Gisagara,Amajyepfo,51,15572,11332,2387,149,0.856
Huye,Amajyepfo,67,2742,7382,13828,526,0.817
Kamonyi,Amajyepfo,59,23657,5319,3464,265,0.789
Muhanga,Amajyepfo,36,24495,11016,776,617,0.92
Nyamagabe,Amajyepfo,33,17334,12190,10581,149,0.872
Nyanza,Amajyepfo,62,24984,9186,10673,175,0.87
Nyaruguru,Amajyepfo,25,21850,6285,820,97,0.793
Ruhango,Amajyepfo,70,4844,9123,5425,378,0.85
Karongi,Uburengerazuba,63,25753,4527,7679,321,0.826
Ngororero,Uburengerazuba,74,14760,5650,12247,632,0.884
Nyabihu,Uburengerazuba,72,17301,9389,8206,443,0.794
Nyamasheke,Uburengerazuba,40,10179,7431,8986,256,0.82
Rubavu,Uburengerazuba,24,8730,7383,4657,818,0.916
Rutsiro,Uburengerazuba,46,10344,4566,11629,485,0.842
Rusizi,Uburengerazuba,24,12386,9363,10849,805,0.801
