Akarere,Intara,Amashuri_Yisumbuye,Abanyeshuri_Byose,Abahungu,Abakobwa,Abamurimu,Uruhare_Kuzamura_%
Gasabo,Kigali,55,6739,5806,5532,71,0.845
Kicukiro,Kigali,38,5643,580,12604,604,0.924
Nyarugenge,Kigali,68,20138,10176,3156,269,0.881
Bugesera,Uburasirazuba,75,5996,9779,11420,896,0.787
Gatsibo,Uburasirazuba,46,24124,8001,9960,721,0.887
Kayonza,Uburasirazuba,59,8664,1602,5395,745,0.862
Kirehe,Uburasirazuba,32,25339,10276,7754,315,0.876
Ngoma,Uburasirazuba,34,16623,5460,13775,699,0.802
Nyagatare,Uburasirazuba,54,25003,9589,5946,866,0.793
Rwamagana,Uburasirazuba,23,4630,12976,9178,427,0.861
Burera,Amajyaruguru,54,25011,5070,12888,885,0.802
Gakenke,Amajyaruguru,29,18046,10529,11974,533,0.927
Gicumbi,Amajyaruguru,62,23248,5790,11598,797,0.929
Musanze,Amajyaruguru,44,14980,8226,3864,513,0.921
Rulindo,Amajyaruguru,58,19436,11113,7052,319,0.905
Gisagara,Amajyepfo,32,26290,7514,11543,228,0.833
Huye,Amajyepfo,34,21267,1847,9110,430,0.905
Kamonyi,Amajyepfo,70,6003,408,11192,473,0.796
Muhanga,Amajyepfo,15,2856,13321,3688,389,0.904
Nyamagabe,Amajyepfo,44,3517,11477,719,66,0.798
Nyanza,Amajyepfo,18,21931,1370,3846,857,0.843
Nyaruguru,Amajyepfo,31,11821,9890,4482,373,0.811
Ruhango,Amajyepfo,36,16880,6906,8761,76,0.854
Karongi,Uburengerazuba,7,9562,822,9928,780,0.838
Ngororero,Uburengerazuba,44,3555,9764,8835,341,0.926
Nyabihu,Uburengerazuba,40,1640,925,7029,819,0.851
Nyamasheke,Uburengerazuba,44,3148,10250,10132,833,0.848
Rubavu,Uburengerazuba,59,7441,13782,867,306,0.897
Rutsiro,Uburengerazuba,67,6768,5984,539,150,0.909
Rusizi,Uburengerazuba,62,26253,6444,7228,438,0.885
