Akarere,Intara,Ubuso_km2,Abaturage,Inzu,Umubare_Abagabo,Umubare_Abagore,Ubucucike_km2
Gasabo,Kigali,2742,496915,119259,243488,253426,3937
Kicukiro,Kigali,102,89294,21430,43754,45539,1755
Nyarugenge,Kigali,4652,248136,59552,121586,126549,4417
Bugesera,Uburasirazuba,1606,221953,53268,108756,113196,478
Gatsibo,Uburasirazuba,4740,563732,135295,276228,287503,611
Kayonza,Uburasirazuba,439,515883,123811,252782,263100,3850
Kirehe,Uburasirazuba,729,664345,159442,325529,338815,2481
Ngoma,Uburasirazuba,1398,130019,31204,63709,66309,4387
Nyagatare,Uburasirazuba,1137,348168,83560,170602,177565,2788
Rwamagana,Uburasirazuba,1085,93171,22361,45653,47517,1696
Burera,Amajyaruguru,3284,220330,52879,107961,112368,2302
Gakenke,Amajyaruguru,692,404192,97006,198054,206137,1278
Gicumbi,Amajyaruguru,2982,89601,21504,43904,45696,1304
Musanze,Amajyaruguru,447,200805,48193,98394,102410,3229
Rulindo,Amajyaruguru,4536,493197,118367,241666,251530,4326
Gisagara,Amajyepfo,1266,422466,101391,207008,215457,3411
Huye,Amajyepfo,748,214749,51539,105227,109521,4690
Kamonyi,Amajyepfo,2416,460190,110445,225493,234696,3966
Muhanga,Amajyepfo,1033,610556,146533,299172,311383,665
Nyamagabe,Amajyepfo,2175,76845,18442,37654,39190,2441
Nyanza,Amajyepfo,3399,606276,145506,297075,309200,4923
Nyaruguru,Amajyepfo,2072,521703,125208,255634,266068,1828
Ruhango,Amajyepfo,1318,300010,72002,147004,153005,1113
Karongi,Uburengerazuba,2167,174310,41834,85411,88898,1537
Ngororero,Uburengerazuba,4624,692960,166310,339550,353409,2327
Nyabihu,Uburengerazuba,2796,297576,71418,145812,151763,442
Nyamasheke,Uburengerazuba,4196,136234,32696,66754,69479,4851
Rubavu,Uburengerazuba,4258,138490,33237,67860,70629,998
Rutsiro,Uburengerazuba,1147,627716,150651,307580,320135,2124
Rusizi,Uburengerazuba,1956,460091,110421,225444,234646,4929
