Akarere,Intara,Imodoka_Byose,Imodoka_Ubwoko_Saloon,Imodoka_Nini_Camion,Imodoka_Moto,Bisi,Ibindi_Bicombozi
Gasabo,Kigali,8227,11452,1219,5882,1434,188
Kicukiro,Kigali,7066,11717,1888,187,288,170
Nyarugenge,Kigali,22941,10687,2715,2398,1727,446
Bugesera,Uburasirazuba,7074,12659,899,4539,1493,361
Gatsibo,Uburasirazuba,16348,1805,2877,6843,325,407
Kayonza,Uburasirazuba,14676,5770,484,5624,915,285
Kirehe,Uburasirazuba,22046,10982,2837,1880,1001,427
Ngoma,Uburasirazuba,6023,1348,1990,4431,1074,16
Nyagatare,Uburasirazuba,19929,11979,391,2726,1340,62
Rwamagana,Uburasirazuba,12922,8264,1637,1738,1617,136
Burera,Amajyaruguru,15177,3301,3518,5519,1390,298
Gakenke,Amajyaruguru,7989,12164,2838,4497,1049,50
Gicumbi,Amajyaruguru,13071,7807,517,2034,1611,45
Musanze,Amajyaruguru,14041,4793,3778,2784,891,13
Rulindo,Amajyaruguru,2430,12475,380,4836,684,143
Gisagara,Amajyepfo,25469,10539,841,150,333,257
Huye,Amajyepfo,17143,554,4392,6956,878,277
Kamonyi,Amajyepfo,15482,2185,3347,6491,359,17
Muhanga,Amajyepfo,1035,6725,719,6078,219,100
Nyamagabe,Amajyepfo,9440,2973,3285,6583,492,218
Nyanza,Amajyepfo,26709,4628,2499,2116,1345,225
Nyaruguru,Amajyepfo,14549,5289,901,1276,1241,399
Ruhango,Amajyepfo,8157,5197,2643,5383,571,358
Karongi,Uburengerazuba,26723,6418,3977,3012,1348,367
Ngororero,Uburengerazuba,17592,7953,1954,4004,682,286
Nyabihu,Uburengerazuba,2173,2299,190,3618,1062,134
Nyamasheke,Uburengerazuba,23216,8439,4344,2517,68,84
Rubavu,Uburengerazuba,9306,10313,1635,582,1187,169
Rutsiro,Uburengerazuba,21914,1721,1460,155,602,211
Rusizi,Uburengerazuba,22348,11698,2544,2748,1089,239
