Akarere,Intara,Ubuso_km2,Abaturage,Inzu,Umubare_Abagabo,Umubare_Abagore,Ubucucike_km2
Gasabo,Kigali,3941,503193,120766,246564,256628,2384
Kicukiro,Kigali,4790,91842,22042,45002,46839,4978
Nyarugenge,Kigali,3620,261922,62861,128341,133580,943
Bugesera,Uburasirazuba,4846,224428,53862,109969,114458,2980
Gatsibo,Uburasirazuba,3765,574611,137906,281559,293051,474
Kayonza,Uburasirazuba,2563,534984,128396,262142,272841,4293
Kirehe,Uburasirazuba,4807,669722,160733,328163,341558,584
Ngoma,Uburasirazuba,3015,132354,31764,64853,67500,3441
Nyagatare,Uburasirazuba,687,356934,85664,174897,182036,4473
Rwamagana,Uburasirazuba,3013,94397,22655,46254,48142,3173
Burera,Amajyaruguru,2959,222452,53388,109001,113450,2709
Gakenke,Amajyaruguru,1100,424478,101874,207994,216483,3637
Gicumbi,Amajyaruguru,2039,92184,22124,45170,47013,3424
Musanze,Amajyaruguru,1649,208095,49942,101966,106128,3808
Rulindo,Amajyaruguru,2345,506234,121496,248054,258179,4992
Gisagara,Amajyepfo,458,452826,108678,221884,230941,1223
Huye,Amajyepfo,4672,222286,53348,108920,113365,4428
Kamonyi,Amajyepfo,1910,481205,115489,235790,245414,957
Muhanga,Amajyepfo,3547,631338,151521,309355,321982,3136
Nyamagabe,Amajyepfo,3304,81149,19475,39763,41385,237
Nyanza,Amajyepfo,1566,628449,150827,307940,320508,3384
Nyaruguru,Amajyepfo,758,557316,133755,273084,284231,754
Ruhango,Amajyepfo,2810,300679,72162,147332,153346,1507
Karongi,Uburengerazuba,3616,181184,43484,88780,92403,1177
Ngororero,Uburengerazuba,1393,726923,174461,356192,370730,2544
Nyabihu,Uburengerazuba,4245,307919,73900,150880,157038,643
Nyamasheke,Uburengerazuba,1455,137548,33011,67398,70149,217
Rubavu,Uburengerazuba,3221,142182,34123,69669,72512,1457
Rutsiro,Uburengerazuba,2803,655043,157210,320971,334071,2252
Rusizi,Uburengerazuba,468,474312,113834,232412,241899,4438
