Akarere,Intara,Inzu_z_Inkiko,Ibirego_Byashyikirijwe,Ibirego_Byakemuwe,Abacamanza,Ibirego_bya_Gacaca,Abagaminzi
Gasabo,Kigali,48,1473,199,17,3203,9
Kicukiro,Kigali,31,891,180,4,1748,8
Nyarugenge,Kigali,29,1141,1113,2,534,10
Bugesera,Uburasirazuba,32,1961,58,10,174,2
Gatsibo,Uburasirazuba,9,1657,1068,9,3258,9
Kayonza,Uburasirazuba,36,578,782,11,1736,11
Kirehe,Uburasirazuba,32,171,248,10,3808,7
Ngoma,Uburasirazuba,40,921,45,6,602,6
Nyagatare,Uburasirazuba,9,955,922,11,994,9
Rwamagana,Uburasirazuba,34,748,264,16,2788,11
Burera,Amajyaruguru,26,506,817,2,2632,4
Gakenke,Amajyaruguru,24,888,973,15,316,9
Gicumbi,Amajyaruguru,46,505,951,10,596,10
Musanze,Amajyaruguru,37,1514,418,5,2755,4
Rulindo,Amajyaruguru,40,869,153,15,3499,5
Gisagara,Amajyepfo,14,1219,601,18,708,11
Huye,Amajyepfo,25,1017,198,14,2583,11
Kamonyi,Amajyepfo,14,387,842,3,675,10
Muhanga,Amajyepfo,25,494,438,17,2473,9
Nyamagabe,Amajyepfo,33,1559,237,19,3441,1
Nyanza,Amajyepfo,43,1263,1194,12,3372,4
Nyaruguru,Amajyepfo,37,1861,326,7,2380,10
Ruhango,Amajyepfo,31,440,705,2,3923,1
Karongi,Uburengerazuba,26,1940,78,11,1995,9
Ngororero,Uburengerazuba,41,1174,318,12,197,9
Nyabihu,Uburengerazuba,47,401,383,13,499,6
Nyamasheke,Uburengerazuba,18,1781,1035,15,243,6
Rubavu,Uburengerazuba,39,2195,510,16,1576,6
Rutsiro,Uburengerazuba,33,2162,122,18,1431,1
Rusizi,Uburengerazuba,24,732,1137,11,3208,9
