Akarere,Intara,Amashami_ya_Banki,Aho_Gukura_Amafaranga_ATM,Amasosiyete_Mpuzamashako,Amafaranga_Inguzanyo_Miliyoni_Frw,Uruhare_Abafite_Konti_%
Gasabo,Kigali,15,38,19,586,0.423
Kicukiro,Kigali,6,68,225,381,0.35
Nyarugenge,Kigali,5,85,76,3706,0.408
Bugesera,Uburasirazuba,3,5,58,1380,0.347
Gatsibo,Uburasirazuba,7,10,347,3074,0.271
Kayonza,Uburasirazuba,7,22,29,3063,0.283
Kirehe,Uburasirazuba,12,75,368,2913,0.383
Ngoma,Uburasirazuba,16,37,149,311,0.241
Nyagatare,Uburasirazuba,14,69,419,1735,0.288
Rwamagana,Uburasirazuba,2,40,445,1570,0.278
Burera,Amajyaruguru,12,22,398,3602,0.406
Gakenke,Amajyaruguru,3,18,195,555,0.305
Gicumbi,Amajyaruguru,10,20,105,2474,0.428
Musanze,Amajyaruguru,3,22,170,847,0.32
Rulindo,Amajyaruguru,6,37,214,371,0.403
Gisagara,Amajyepfo,12,35,44,1046,0.3
Huye,Amajyepfo,11,88,59,2449,0.438
Kamonyi,Amajyepfo,15,18,432,2731,0.436
Muhanga,Amajyepfo,12,62,437,3146,0.306
Nyamagabe,Amajyepfo,11,80,153,3843,0.336
Nyanza,Amajyepfo,6,56,269,1770,0.368
Nyaruguru,Amajyepfo,4,54,444,1108,0.363
Ruhango,Amajyepfo,16,30,335,3427,0.364
Karongi,Uburengerazuba,2,36,144,750,0.281
Ngororero,Uburengerazuba,1,83,275,4260,0.388
Nyabihu,Uburengerazuba,6,27,294,3441,0.344
Nyamasheke,Uburengerazuba,17,59,140,184,0.409
Rubavu,Uburengerazuba,6,24,249,4087,0.373
Rutsiro,Uburengerazuba,5,63,327,2767,0.316
Rusizi,Uburengerazuba,6,42,17,3924,0.254
