Akarere,Intara,Uruhare_Ubukene_%,Ubukene_Bukarishye_%,Umusaruro_Umuntu_Frw,Imikorere_Nziza_%
Gasabo,Kigali,0.359,0.089,143326,7
Kicukiro,Kigali,0.499,0.145,59535,37
Nyarugenge,Kigali,0.469,0.122,187177,18
Bugesera,Uburasirazuba,0.492,0.07,60071,9
Gatsibo,Uburasirazuba,0.446,0.069,159242,20
Kayonza,Uburasirazuba,0.489,0.088,94808,16
Kirehe,Uburasirazuba,0.44,0.144,194424,16
Ngoma,Uburasirazuba,0.282,0.069,82569,32
Nyagatare,Uburasirazuba,0.375,0.079,74518,21
Rwamagana,Uburasirazuba,0.322,0.124,242573,12
Burera,Amajyaruguru,0.292,0.092,65181,10
Gakenke,Amajyaruguru,0.406,0.159,186344,6
Gicumbi,Amajyaruguru,0.451,0.099,59154,13
Musanze,Amajyaruguru,0.307,0.122,182208,14
Rulindo,Amajyaruguru,0.497,0.064,124922,20
Gisagara,Amajyepfo,0.424,0.09,137029,33
Huye,Amajyepfo,0.242,0.061,214378,39
Kamonyi,Amajyepfo,0.239,0.159,118170,27
Muhanga,Amajyepfo,0.393,0.13,94352,33
Nyamagabe,Amajyepfo,0.207,0.068,229524,20
Nyanza,Amajyepfo,0.239,0.169,214164,16
Nyaruguru,Amajyepfo,0.213,0.115,75277,25
Ruhango,Amajyepfo,0.447,0.107,46191,28
Karongi,Uburengerazuba,0.252,0.086,79301,14
Ngororero,Uburengerazuba,0.465,0.064,170027,13
Nyabihu,Uburengerazuba,0.289,0.109,155644,7
Nyamasheke,Uburengerazuba,0.284,0.076,81886,35
Rubavu,Uburengerazuba,0.358,0.136,208455,32
Rutsiro,Uburengerazuba,0.497,0.154,115413,24
Rusizi,Uburengerazuba,0.345,0.17,145502,18
