Akarere,Intara,Amashami_ya_Banki,Aho_Gukura_Amafaranga_ATM,Amasosiyete_Mpuzamashako,Amafaranga_Inguzanyo_Miliyoni_Frw,Uruhare_Abafite_Konti_%
Gasabo,Kigali,4,58,76,982,0.298
Kicukiro,Kigali,11,75,420,1124,0.296
Nyarugenge,Kigali,13,30,328,1162,0.315
Bugesera,Uburasirazuba,5,28,209,2889,0.334
Gatsibo,Uburasirazuba,14,10,438,1840,0.314
Kayonza,Uburasirazuba,8,47,334,3440,0.444
Kirehe,Uburasirazuba,14,5,180,3854,0.432
Ngoma,Uburasirazuba,16,55,81,3291,0.331
Nyagatare,Uburasirazuba,8,43,178,2758,0.294
Rwamagana,Uburasirazuba,3,44,82,918,0.283
Burera,Amajyaruguru,9,66,228,4171,0.468
Gakenke,Amajyaruguru,17,36,227,2913,0.398
Gicumbi,Amajyaruguru,7,7,415,1780,0.393
Musanze,Amajyaruguru,4,41,126,4115,0.424
Rulindo,Amajyaruguru,9,46,314,3158,0.41
Gisagara,Amajyepfo,16,67,120,232,0.443
Huye,Amajyepfo,11,62,318,2932,0.332
Kamonyi,Amajyepfo,8,62,125,2741,0.47
Muhanga,Amajyepfo,15,5,350,2928,0.463
Nyamagabe,Amajyepfo,7,54,406,2371,0.318
Nyanza,Amajyepfo,8,75,124,1415,0.474
Nyaruguru,Amajyepfo,12,36,148,1899,0.455
Ruhango,Amajyepfo,13,11,291,3512,0.349
Karongi,Uburengerazuba,3,68,419,1839,0.342
Ngororero,Uburengerazuba,17,74,15,388,0.419
Nyabihu,Uburengerazuba,9,60,333,834,0.355
Nyamasheke,Uburengerazuba,12,21,94,4272,0.37
Rubavu,Uburengerazuba,14,19,40,887,0.432
Rutsiro,Uburengerazuba,5,81,192,2850,0.405
Rusizi,Uburengerazuba,15,18,142,1749,0.335
