Akarere,Intara,Imodoka_Byose,Imodoka_Ubwoko_Saloon,Imodoka_Nini_Camion,Imodoka_Moto,Bisi,Ibindi_Bicombozi
Gasabo,Kigali,3240,3722,2751,6192,1549,37
Kicukiro,Kigali,25037,5569,3412,2279,586,91
Nyarugenge,Kigali,22555,6557,4456,2994,236,80
Bugesera,Uburasirazuba,9421,5069,2610,2052,1163,385
Gatsibo,Uburasirazuba,27667,11864,1308,5904,734,403
Kayonza,Uburasirazuba,25737,652,2915,560,184,361
Kirehe,Uburasirazuba,20361,3679,3401,2850,1008,143
Ngoma,Uburasirazuba,17300,5204,3146,3225,1529,435
Nyagatare,Uburasirazuba,3750,4954,2796,282,100,8
Rwamagana,Uburasirazuba,3301,4298,3106,3094,318,89
Burera,Amajyaruguru,25302,4890,4066,6927,1682,391
Gakenke,Amajyaruguru,7567,10236,534,6634,148,150
Gicumbi,Amajyaruguru,17311,10590,1243,1258,260,209
Musanze,Amajyaruguru,3885,11225,3398,6223,1739,188
Rulindo,Amajyaruguru,12731,1722,2393,4078,1195,439
Gisagara,Amajyepfo,9284,9541,1047,1905,543,40
Huye,Amajyepfo,15815,11366,2981,5168,382,38
Kamonyi,Amajyepfo,27220,924,98,1575,1476,87
Muhanga,Amajyepfo,3285,2831,2673,3731,1547,343
Nyamagabe,Amajyepfo,9006,5984,726,3571,1646,101
Nyanza,Amajyepfo,10436,12679,3910,3633,1407,87
Nyaruguru,Amajyepfo,8068,2259,1409,6099,1172,69
Ruhango,Amajyepfo,24583,9723,1112,6267,348,16
Karongi,Uburengerazuba,18668,5966,1224,6494,165,196
Ngororero,Uburengerazuba,4557,6603,2305,447,501,47
Nyabihu,Uburengerazuba,18301,9556,1924,2114,733,268
Nyamasheke,Uburengerazuba,15015,6492,1973,4793,1168,431
Rubavu,Uburengerazuba,6460,832,199,1921,132,49
Rutsiro,Uburengerazuba,6650,8119,3232,2792,195,331
Rusizi,Uburengerazuba,24674,3597,957,5517,635,132
