Akarere,Intara,Uruhare_Amashanyarazi_%,Inzu_Zifite_Amashanyarazi,Amashanyarazi_Solar,Amashanyarazi_Grid
Gasabo,Kigali,0.629,7725,50,5
Kicukiro,Kigali,0.715,7996,41,2
Nyarugenge,Kigali,0.624,6245,30,5
Bugesera,Uburasirazuba,0.712,2106,37,5
Gatsibo,Uburasirazuba,0.669,1456,24,3
Kayonza,Uburasirazuba,0.687,6975,23,5
Kirehe,Uburasirazuba,0.649,7605,49,4
Ngoma,Uburasirazuba,0.665,3064,22,7
Nyagatare,Uburasirazuba,0.66,4505,59,5
Rwamagana,Uburasirazuba,0.674,3775,15,3
Burera,Amajyaruguru,0.696,5302,46,2
Gakenke,Amajyaruguru,0.675,7479,29,5
Gicumbi,Amajyaruguru,0.632,7806,38,2
Musanze,Amajyaruguru,0.636,4766,35,1
Rulindo,Amajyaruguru,0.719,7373,30,1
Gisagara,Amajyepfo,0.703,4388,44,4
Huye,Amajyepfo,0.647,6810,58,2
Kamonyi,Amajyepfo,0.675,3561,55,4
Muhanga,Amajyepfo,0.708,7020,20,6
Nyamagabe,Amajyepfo,0.661,7526,32,6
Nyanza,Amajyepfo,0.648,2949,37,7
Nyaruguru,Amajyepfo,0.669,1869,34,3
Ruhango,Amajyepfo,0.675,4712,30,3
Karongi,Uburengerazuba,0.639,5821,36,2
Ngororero,Uburengerazuba,0.698,1114,45,5
Nyabihu,Uburengerazuba,0.701,3579,41,6
Nyamasheke,Uburengerazuba,0.718,4366,7,4
Rubavu,Uburengerazuba,0.679,7061,53,4
Rutsiro,Uburengerazuba,0.673,4089,44,3
Rusizi,Uburengerazuba,0.685,1911,30,7
