Akarere,Intara,Amazi_Meza_%,Isuku_%,Amazi_Kuruganda_%,Isuku_Byihuta_%
Gasabo,Kigali,0.717,0.658,81,75
Kicukiro,Kigali,0.661,0.623,21,71
Nyarugenge,Kigali,0.706,0.692,36,14
Bugesera,Uburasirazuba,0.732,0.691,42,38
Gatsibo,Uburasirazuba,0.664,0.695,42,44
Kayonza,Uburasirazuba,0.66,0.689,30,41
Kirehe,Uburasirazuba,0.717,0.674,90,39
Ngoma,Uburasirazuba,0.724,0.615,51,16
Nyagatare,Uburasirazuba,0.699,0.641,91,12
Rwamagana,Uburasirazuba,0.687,0.644,91,69
Burera,Amajyaruguru,0.66,0.669,60,78
Gakenke,Amajyaruguru,0.686,0.64,34,18
Gicumbi,Amajyaruguru,0.735,0.645,69,54
Musanze,Amajyaruguru,0.71,0.602,79,27
Rulindo,Amajyaruguru,0.663,0.656,25,63
Gisagara,Amajyepfo,0.671,0.622,85,32
Huye,Amajyepfo,0.665,0.69,20,70
Kamonyi,Amajyepfo,0.664,0.613,38,22
Muhanga,Amajyepfo,0.716,0.603,21,65
Nyamagabe,Amajyepfo,0.674,0.632,33,13
Nyanza,Amajyepfo,0.724,0.653,75,43
Nyaruguru,Amajyepfo,0.728,0.651,28,45
Ruhango,Amajyepfo,0.745,0.604,78,70
Karongi,Uburengerazuba,0.702,0.646,92,14
Ngororero,Uburengerazuba,0.698,0.64,71,44
Nyabihu,Uburengerazuba,0.741,0.607,26,52
Nyamasheke,Uburengerazuba,0.657,0.628,67,48
Rubavu,Uburengerazuba,0.683,0.699,59,41
Rutsiro,Uburengerazuba,0.711,0.61,72,69
Rusizi,Uburengerazuba,0.715,0.677,74,25
