Akarere,Intara,Uruhare_Telephone_%,Uruhare_Internet_%,Umubare_SIM,Umubare_Internet_Abakoresha
Gasabo,Kigali,0.756,0.55,280887,76833
Kicukiro,Kigali,0.68,0.548,388111,34833
Nyarugenge,Kigali,0.748,0.55,114634,203251
Bugesera,Uburasirazuba,0.683,0.56,505136,360848
Gatsibo,Uburasirazuba,0.747,0.565,337124,160743
Kayonza,Uburasirazuba,0.674,0.553,176217,324874
Kirehe,Uburasirazuba,0.749,0.538,373976,301729
Ngoma,Uburasirazuba,0.746,0.57,103744,70875
Nyagatare,Uburasirazuba,0.718,0.523,522479,127641
Rwamagana,Uburasirazuba,0.758,0.541,153961,289476
Burera,Amajyaruguru,0.749,0.558,114805,22733
Gakenke,Amajyaruguru,0.735,0.569,223745,157662
Gicumbi,Amajyaruguru,0.685,0.565,189497,344891
Musanze,Amajyaruguru,0.712,0.537,201558,278630
Rulindo,Amajyaruguru,0.745,0.541,481083,203337
Gisagara,Amajyepfo,0.707,0.555,189577,136528
Huye,Amajyepfo,0.704,0.571,454680,344899
Kamonyi,Amajyepfo,0.736,0.575,295627,285738
Muhanga,Amajyepfo,0.686,0.521,270308,148606
Nyamagabe,Amajyepfo,0.725,0.57,438734,81080
Nyanza,Amajyepfo,0.766,0.501,100098,75224
Nyaruguru,Amajyepfo,0.763,0.544,85244,104272
Ruhango,Amajyepfo,0.678,0.504,261379,394090
Karongi,Uburengerazuba,0.731,0.552,441383,247039
Ngororero,Uburengerazuba,0.765,0.582,402160,186809
Nyabihu,Uburengerazuba,0.69,0.566,492150,128682
Nyamasheke,Uburengerazuba,0.673,0.56,333697,108034
Rubavu,Uburengerazuba,0.687,0.504,181591,20109
Rutsiro,Uburengerazuba,0.686,0.6,478820,154188
Rusizi,Uburengerazuba,0.71,0.559,334758,300031
