Akarere,Intara,Umubare_Abanyeshuri,Abahungu,Abakobwa,Uruhare_Kwinjira_%,Umubare_Abamwarimu,Umubare_Abanyeshuri_Kumwarimu
Gasabo,Kigali,15264,5208,25520,0.97,287,33
Kicukiro,Kigali,36963,12436,11821,0.986,301,27
Nyarugenge,Kigali,28826,33368,30334,0.932,1276,31
Bugesera,Uburasirazuba,31087,14863,9157,0.966,597,22
Gatsibo,Uburasirazuba,12388,38146,35669,0.991,1326,25
Kayonza,Uburasirazuba,43684,39002,37897,0.967,1614,22
Kirehe,Uburasirazuba,37975,9371,17552,0.975,1052,36
Ngoma,Uburasirazuba,29653,29472,33007,0.991,1212,39
Nyagatare,Uburasirazuba,48124,8827,12742,0.92,1364,38
Rwamagana,Uburasirazuba,68993,7328,30085,0.919,683,31
Burera,Amajyaruguru,51410,35450,10773,0.976,1503,28
Gakenke,Amajyaruguru,42516,35301,15986,0.996,227,38
Gicumbi,Amajyaruguru,77269,8223,39984,0.948,636,30
Musanze,Amajyaruguru,22724,36944,23874,0.978,885,28
Rulindo,Amajyaruguru,33866,13416,22461,0.95,377,39
Gisagara,Amajyepfo,41803,34230,36915,0.937,945,29
Huye,Amajyepfo,23931,9253,13387,0.993,1242,25
Kamonyi,Amajyepfo,18973,15875,17674,0.983,1098,31
Muhanga,Amajyepfo,57308,13263,33577,0.997,1355,27
Nyamagabe,Amajyepfo,20112,32619,10093,0.972,1078,37
Nyanza,Amajyepfo,47033,27105,6114,0.903,1724,38
Nyaruguru,Amajyepfo,56111,31516,18846,0.984,616,32
Ruhango,Amajyepfo,8658,22206,17435,0.962,1400,30
Karongi,Uburengerazuba,42790,21562,4238,0.955,221,28
Ngororero,Uburengerazuba,27781,39189,4617,0.981,1413,35
Nyabihu,Uburengerazuba,73503,7852,7467,0.915,545,28
Nyamasheke,Uburengerazuba,66695,13623,18288,0.937,930,29
Rubavu,Uburengerazuba,79296,12130,28625,0.985,1376,36
Rutsiro,Uburengerazuba,62690,7366,17653,0.955,301,15
Rusizi,Uburengerazuba,20339,21994,19620,0.978,1218,36
